Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-02-04,apartmentlist.com,< 10%,7.38%,20.44%,93.71%,14.02%,82.59%
2024-02-04,hellolanding.com,17.92%,19.89%,44.84%,92.02%,38.22%,76.38%
2024-02-08,airbnb.com,19.43%,21.33%,42.99%,92.77%,37.85%,76.12%
2024-02-04,favoes.com,18.22%,21.34%,9.37%,98.97%,6.86%,82.18%
2024-02-08,favoes.com,25.44%,29.86%,11.99%,99.03%,9.58%,80.81%
2024-02-04,airbnb.com,16.16%,17.48%,36.67%,91.85%,29.46%,78.48%
2024-02-04,You,83.85%, --, --,97.80%,66.78%, --
2024-02-08,apartmentlist.com,< 10%,5.63%,20.58%,95.31%,15.16%,82.84%
2024-02-08,hellolanding.com,12.10%,13.26%,36.86%,92.58%,30.90%,79.71%
2024-02-08,You,83.81%, --, --,97.83%,71.07%, --
2024-02-03,You,84.14%, --, --,98.11%,66.53%, --
2024-02-03,hellolanding.com,20.12%,22.24%,47.23%,94.58%,41.70%,75.31%
2024-02-03,airbnb.com,15.43%,16.47%,33.79%,92.48%,27.59%,79.46%
2024-02-03,apartmentlist.com,< 10%,7.17%,15.73%,94.69%,12.03%,83.19%
2024-02-03,favoes.com,20.76%,24.31%,9.62%,99.17%,7.22%,82.18%
2024-02-02,apartmentlist.com,< 10%,6.83%,17.97%,94.08%,13.56%,82.63%
2024-02-02,hellolanding.com,18.28%,20.42%,44.24%,93.98%,39.58%,76.10%
2024-02-13,apartmentlist.com,< 10%,7.26%,21.85%,95.08%,15.63%,82.44%
2024-02-12,apartmentlist.com,< 10%,6.52%,21.39%,93.68%,15.33%,81.04%
2024-02-05,airbnb.com,13.66%,14.77%,34.23%,90.25%,28.94%,79.17%
2024-02-11,airbnb.com,17.11%,18.32%,44.20%,92.80%,37.90%,78.00%
2024-02-13,airbnb.com,17.34%,18.91%,46.65%,93.69%,40.51%,76.38%
2024-02-05,You,83.38%, --, --,97.75%,71.65%, --
2024-02-11,You,84.87%, --, --,97.75%,70.93%, --
2024-02-13,You,83.77%, --, --,98.18%,70.80%, --
2024-02-12,airbnb.com,17.06%,19.00%,44.14%,94.14%,38.16%,75.29%
2024-02-05,favoes.com,18.12%,21.29%,9.80%,98.89%,7.39%,81.64%
2024-02-02,favoes.com,19.10%,22.34%,7.39%,99.16%,5.24%,82.27%
2024-02-12,favoes.com,15.13%,18.12%,11.24%,99.25%,9.03%,80.51%
2024-02-05,hellolanding.com,16.47%,18.52%,39.17%,91.80%,34.15%,77.33%
2024-02-11,favoes.com,17.15%,19.72%,14.40%,98.77%,11.05%,82.46%
2024-02-05,apartmentlist.com,< 10%,6.34%,18.25%,94.38%,13.91%,82.42%
2024-02-02,airbnb.com,16.77%,18.33%,41.58%,94.19%,36.36%,77.28%
2024-02-02,You,83.65%, --, --,98.49%,71.56%, --
2024-02-11,apartmentlist.com,< 10%,7.18%,21.30%,92.37%,15.95%,83.57%
2024-02-12,hellolanding.com,13.24%,14.93%,38.77%,92.30%,32.54%,77.42%
2024-02-13,hellolanding.com,15.20%,16.81%,35.87%,91.84%,31.60%,78.72%
2024-02-12,You,82.18%, --, --,98.17%,72.46%, --
2024-02-11,hellolanding.com,13.57%,14.98%,36.76%,92.41%,31.73%,80.20%
2024-02-13,favoes.com,23.18%,27.04%,14.33%,98.85%,11.90%,80.52%
2024-02-07,hellolanding.com,10.82%,11.90%,34.02%,94.12%,29.77%,80.06%
2024-02-10,apartmentlist.com,< 10%,6.57%,23.39%,93.58%,17.57%,82.65%
2024-02-01,hellolanding.com,16.37%,18.43%,51.25%,96.42%,45.93%,75.48%
2024-02-07,airbnb.com,14.42%,15.62%,34.23%,92.06%,29.27%,78.97%
2024-02-06,You,84.09%, --, --,98.00%,72.77%, --
2024-02-07,You,83.44%, --, --,98.08%,74.78%, --
2024-02-09,hellolanding.com,13.26%,14.67%,34.50%,92.91%,29.41%,80.13%
2024-02-06,apartmentlist.com,< 10%,5.61%,17.89%,95.21%,12.67%,83.25%
2024-02-10,You,83.94%, --, --,97.91%,73.20%, --
2024-02-14,airbnb.com,16.78%,18.38%,50.99%,94.65%,44.98%,75.66%
2024-02-07,favoes.com,28.30%,33.39%,12.39%,99.19%,10.50%,79.98%
2024-02-01,favoes.com,13.47%,15.92%,8.20%,99.41%,6.31%,82.27%
2024-02-07,apartmentlist.com,< 10%,5.79%,18.55%,92.28%,13.96%,82.54%
2024-02-01,airbnb.com,18.67%,20.59%,44.53%,94.79%,38.45%,75.72%
2024-02-14,favoes.com,24.49%,28.60%,14.13%,99.05%,11.04%,80.11%
2024-02-01,You,83.36%, --, --,98.31%,69.66%, --
2024-02-01,apartmentlist.com,< 10%,6.27%,16.73%,94.62%,11.61%,82.48%
2024-02-06,airbnb.com,14.98%,16.20%,36.86%,92.01%,32.40%,79.07%
2024-02-09,favoes.com,22.67%,26.34%,10.63%,99.12%,8.38%,82.04%
2024-02-10,hellolanding.com,13.08%,14.48%,33.45%,92.52%,29.40%,79.87%
2024-02-09,airbnb.com,16.00%,17.20%,40.46%,92.84%,35.23%,78.53%
2024-02-06,hellolanding.com,14.52%,16.11%,37.72%,94.68%,33.22%,78.98%
2024-02-09,apartmentlist.com,< 10%,7.08%,21.31%,93.99%,17.60%,83.13%
2024-02-10,airbnb.com,18.38%,19.81%,39.12%,92.24%,33.69%,77.43%
2024-02-09,You,84.40%, --, --,97.96%,72.22%, --
2024-02-14,hellolanding.com,13.95%,15.66%,42.48%,92.70%,37.22%,77.93%
2024-02-14,apartmentlist.com,< 10%,6.78%,21.88%,92.24%,15.86%,82.25%
2024-02-14,You,83.49%, --, --,98.21%,68.31%, --
