Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-07-03,apartmentlist.com,10.23%,9.64%,46.79%,70.93%,16.27%,35.28%
2024-07-08,evolve.com,18.47%,28.90%,62.96%,87.81%,48.74%,35.74%
2024-07-03,evolve.com,21.80%,34.96%,67.52%,89.39%,51.49%,28.22%
2024-07-06,evolve.com,17.36%,25.67%,69.38%,91.29%,53.16%,35.71%
2024-07-03,You,36.94%, --, --,78.84%,30.90%, --
2024-07-03,vrbo.com,10.25%,7.95%,54.55%,73.82%,23.33%,35.34%
2024-07-05,vrbo.com,12.02%,9.04%,56.86%,76.79%,27.23%,36.96%
2024-07-03,rentbyowner.com,< 10%,4.68%,22.06%,22.51%,0.96%,36.56%
2024-07-02,rentbyowner.com,< 10%,3.01%,24.79%,16.98%,0.62%,32.75%
2024-07-06,apartmentlist.com,13.40%,13.11%,43.58%,69.43%,12.70%,40.96%
2024-07-08,apartmentlist.com,15.53%,14.48%,48.61%,72.94%,19.22%,40.61%
2024-07-06,You,43.45%, --, --,76.01%,27.91%, --
2024-07-06,hellolanding.com,19.21%,25.38%,55.09%,77.36%,34.12%,37.37%
2024-07-05,airbnb.com,46.94%,53.14%,54.95%,81.89%,36.10%,27.58%
2024-07-06,airbnb.com,50.10%,56.37%,58.36%,84.65%,39.70%,29.15%
2024-07-13,evolve.com,22.49%,32.03%,74.93%,93.92%,61.24%,37.89%
2024-07-11,apartmentlist.com,14.67%,14.18%,49.32%,68.97%,15.78%,44.61%
2024-07-08,airbnb.com,50.17%,56.57%,54.93%,81.26%,37.04%,30.11%
2024-07-07,vrbo.com,13.50%,11.42%,61.67%,76.70%,25.60%,46.17%
2024-07-11,You,47.97%, --, --,77.46%,28.30%, --
2024-07-05,You,38.96%, --, --,77.39%,27.78%, --
2024-07-13,apartmentlist.com,11.15%,11.40%,44.11%,70.11%,17.37%,47.34%
2024-07-13,You,49.85%, --, --,80.31%,27.83%, --
2024-07-13,vrbo.com,12.26%,10.17%,61.24%,82.93%,30.89%,46.75%
2024-07-02,hellolanding.com,10.34%,15.67%,37.78%,70.08%,27.94%,31.04%
2024-07-02,vrbo.com,< 10%,4.90%,52.79%,79.21%,28.96%,32.14%
2024-07-05,rentbyowner.com,< 10%,5.26%,18.97%,21.63%,0.25%,38.57%
2024-07-02,apartmentlist.com,< 10%,7.21%,37.93%,70.69%,14.32%,32.09%
2024-07-02,evolve.com,20.37%,36.19%,56.63%,91.50%,47.68%,26.23%
2024-07-06,rentbyowner.com,< 10%,7.80%,18.59%,20.96%,0.40%,42.82%
2024-07-07,You,49.66%, --, --,75.81%,28.87%, --
2024-07-08,hellolanding.com,14.05%,17.34%,52.32%,74.87%,29.32%,39.72%
2024-07-08,vrbo.com,12.84%,9.97%,59.00%,75.08%,25.80%,41.12%
2024-07-05,evolve.com,21.94%,32.26%,74.41%,91.30%,58.78%,29.61%
2024-07-07,evolve.com,17.29%,26.07%,66.94%,90.63%,51.91%,41.00%
2024-07-11,evolve.com,17.27%,26.82%,62.58%,90.63%,44.25%,39.92%
2024-07-11,airbnb.com,47.39%,55.53%,56.25%,82.26%,38.13%,32.99%
2024-07-02,You,32.99%, --, --,85.28%,42.68%, --
2024-07-05,apartmentlist.com,11.26%,10.34%,49.71%,68.20%,13.60%,36.96%
2024-07-07,apartmentlist.com,15.02%,13.92%,51.56%,76.10%,16.71%,46.10%
2024-07-03,travelnursehousing.com,29.42%,52.72%,47.58%,88.42%,22.08%,27.68%
2024-07-02,holidayhomes.com,< 10%,2.76%,28.83%,14.47%,1.55%,32.73%
2024-07-05,hometogo.com,12.18%,10.88%,26.39%,39.94%,3.29%,37.84%
2024-07-03,airbnb.com,42.93%,50.21%,52.50%,80.31%,35.62%,27.21%
2024-07-03,hellolanding.com,14.52%,19.41%,47.70%,72.15%,28.90%,33.52%
2024-07-06,hometogo.com,13.13%,14.04%,23.97%,37.91%,4.41%,41.98%
2024-07-07,holidayhomes.com,< 10%,8.34%,22.15%,20.82%,1.25%,48.74%
2024-07-13,airbnb.com,47.19%,58.03%,54.46%,84.06%,37.28%,34.10%
2024-07-07,travelnursehousing.com,26.82%,43.25%,48.27%,87.52%,24.46%,39.30%
2024-07-13,hellolanding.com,< 10%,3.11%,61.47%,77.66%,31.98%,48.90%
2024-07-06,vrbo.com,13.18%,10.94%,52.25%,75.72%,22.56%,40.96%
2024-07-02,airbnb.com,35.06%,42.80%,40.67%,79.76%,35.03%,27.25%
2024-07-05,hellolanding.com,17.67%,23.46%,51.80%,77.00%,33.00%,34.22%
2024-07-07,hellolanding.com,20.01%,25.52%,56.66%,79.28%,35.56%,42.48%
2024-07-07,airbnb.com,50.81%,56.35%,57.94%,84.78%,37.62%,33.45%
2024-07-03,hometogo.com,< 10%,10.08%,29.69%,39.11%,4.04%,35.84%
2024-07-03,holidayhomes.com,< 10%,4.58%,31.58%,22.06%,1.47%,36.41%
2024-07-02,hometogo.com,< 10%,5.52%,28.38%,38.73%,3.66%,32.48%
2024-07-05,holidayhomes.com,< 10%,6.35%,20.00%,21.37%,1.93%,38.46%
2024-07-08,hometogo.com,12.63%,12.76%,23.70%,34.83%,3.35%,42.37%
2024-07-08,holidayhomes.com,< 10%,6.97%,22.71%,19.65%,1.57%,43.00%
2024-07-11,hometogo.com,10.82%,11.24%,17.56%,33.17%,3.77%,47.02%
2024-07-11,hellolanding.com,< 10%,3.18%,55.17%,73.53%,25.49%,47.13%
2024-07-07,rentbyowner.com,< 10%,7.45%,17.15%,23.25%,0.62%,49.03%
2024-07-11,vrbo.com,12.77%,10.17%,65.23%,80.43%,32.13%,44.78%
2024-07-08,You,43.69%, --, --,77.01%,26.65%, --
2024-07-08,rentbyowner.com,< 10%,6.33%,17.16%,15.70%,1.36%,43.21%
