Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2024-01-06,You,81.53%, --, --,96.14%,58.10%, --
2024-01-06,airbnb.com,20.47%,22.18%,12.58%,65.73%,5.49%,79.26%
2024-01-06,hellolanding.com,14.27%,15.76%,10.87%,58.35%,2.88%,80.14%
2024-01-06,hotelengine.com,16.11%,17.44%,18.50%,85.37%,12.07%,78.90%
2024-01-07,You,78.91%, --, --,95.20%,51.78%, --
2024-01-07,airbnb.com,18.41%,20.61%,16.98%,72.92%,8.89%,76.14%
2024-01-07,hellolanding.com,15.44%,17.63%,11.21%,58.44%,2.65%,77.35%
2024-01-07,hotelengine.com,12.99%,14.55%,16.93%,86.22%,9.84%,76.96%
2024-01-08,You,78.97%, --, --,95.61%,50.96%, --
2024-01-08,airbnb.com,20.24%,22.65%,13.54%,64.33%,3.34%,76.55%
2024-01-08,hellolanding.com,19.61%,22.24%,12.60%,60.57%,4.28%,76.76%
2024-01-08,hotelengine.com,15.39%,16.69%,18.02%,83.96%,11.20%,76.60%
2024-01-06,furnishedfinder.com,83.56%,90.79%,36.53%,94.98%,32.46%,54.49%
2024-01-06,evolve.com,< 10%,6.99%,45.67%,92.74%,40.60%,78.93%
2024-01-07,furnishedfinder.com,81.79%,91.25%,42.37%,94.94%,38.42%,48.40%
2024-01-07,evolve.com,< 10%,7.23%,54.26%,94.14%,46.86%,75.81%
2024-01-08,furnishedfinder.com,83.16%,91.77%,45.18%,94.88%,41.05%,46.23%
2024-01-08,evolve.com,< 10%,6.78%,47.83%,94.53%,37.89%,76.41%
2024-01-13,You,81.01%, --, --,95.32%,54.32%, --
2024-01-13,airbnb.com,23.70%,25.82%,12.57%,66.71%,5.42%,78.38%
2024-01-13,hellolanding.com,14.25%,15.97%,11.35%,68.24%,4.94%,79.54%
2024-01-13,hotelengine.com,< 10%,0.11%,66.67%,100.00%,71.43%,80.95%
2024-01-13,furnishedfinder.com,74.46%,80.26%,40.64%,94.00%,37.66%,54.59%
2024-01-13,evolve.com,22.29%,25.59%,35.10%,95.20%,28.12%,73.73%
2024-01-04,You,73.81%, --, --,96.58%,51.95%, --
2024-01-04,airbnb.com,18.10%,19.63%,11.82%,55.25%,5.31%,72.09%
2024-01-04,hellolanding.com,14.36%,15.89%,9.79%,44.04%,4.94%,72.66%
2024-01-04,hotelengine.com,< 10%,0.90%,43.75%,93.02%,39.53%,73.51%
2024-01-05,You,79.04%, --, --,95.64%,52.18%, --
2024-01-05,airbnb.com,17.10%,19.29%,10.92%,61.78%,3.67%,77.38%
2024-01-05,hellolanding.com,15.27%,17.67%,7.60%,55.61%,2.69%,77.98%
2024-01-05,hotelengine.com,< 10%,8.36%,18.98%,84.76%,11.11%,77.79%
2024-01-10,You,80.79%, --, --,95.56%,48.28%, --
2024-01-10,airbnb.com,22.85%,25.05%,13.27%,62.39%,4.91%,78.11%
2024-01-04,furnishedfinder.com,80.19%,88.46%,38.91%,95.99%,33.21%,48.40%
2024-01-04,evolve.com,54.98%,62.10%,26.59%,88.15%,19.29%,61.62%
2024-01-05,furnishedfinder.com,82.66%,91.76%,40.84%,94.86%,36.33%,49.42%
2024-01-05,evolve.com,19.37%,22.55%,37.62%,91.03%,27.40%,72.33%
2024-01-10,furnishedfinder.com,81.52%,88.67%,45.08%,95.15%,40.51%,48.50%
2024-01-10,evolve.com,18.06%,20.85%,41.01%,93.92%,34.32%,73.88%
2024-01-10,hellolanding.com,17.50%,19.76%,12.54%,59.69%,3.35%,78.79%
2024-01-10,hotelengine.com,12.30%,12.96%,24.48%,85.71%,13.69%,78.23%
2024-01-17,You,83.92%, --, --,95.96%,63.44%, --
2024-01-17,airbnb.com,17.70%,19.19%,8.27%,60.33%,4.38%,82.59%
2024-01-17,furnishedfinder.com,79.69%,87.36%,28.86%,94.11%,27.38%,62.76%
2024-01-17,evolve.com,19.27%,21.93%,23.03%,92.34%,19.60%,79.69%
2024-01-17,hellolanding.com,15.96%,17.54%,10.03%,64.80%,5.46%,82.45%
2024-01-17,hotelengine.com,< 10%,0.06%,0.00%,100.00%,0.00%,83.92%
2024-01-12,You,79.82%, --, --,94.92%,51.87%, --
2024-01-12,airbnb.com,19.81%,21.01%,14.55%,62.75%,5.87%,77.38%
2024-01-12,hellolanding.com,16.88%,18.63%,11.07%,67.73%,4.20%,78.18%
2024-01-12,hotelengine.com,< 10%,7.36%,25.60%,87.10%,18.55%,78.32%
2024-01-12,furnishedfinder.com,76.96%,83.97%,39.67%,93.99%,37.21%,53.23%
2024-01-12,evolve.com,20.15%,23.75%,38.47%,92.11%,30.99%,72.53%
2024-01-09,You,78.05%, --, --,95.69%,50.29%, --
2024-01-09,airbnb.com,19.24%,20.52%,12.98%,67.49%,5.75%,75.97%
2024-01-09,hellolanding.com,19.22%,21.76%,13.56%,61.34%,4.58%,75.75%
2024-01-09,hotelengine.com,13.93%,14.50%,21.96%,84.76%,12.48%,75.56%
2024-01-09,furnishedfinder.com,81.03%,88.54%,43.50%,95.68%,38.55%,47.99%
2024-01-09,evolve.com,11.27%,12.76%,58.96%,95.19%,50.30%,72.18%
2024-01-14,furnishedfinder.com,51.23%,58.35%,26.18%,85.56%,24.57%,67.21%
2024-01-14,evolve.com,21.50%,25.16%,41.08%,94.61%,33.63%,71.13%
2024-01-14,You,79.33%, --, --,95.62%,65.00%, --
2024-01-14,airbnb.com,23.52%,26.51%,12.86%,68.78%,7.63%,76.62%
2024-01-14,hellolanding.com,13.19%,15.41%,11.29%,75.52%,7.32%,77.95%
2024-01-14,hotelengine.com,< 10%,0.10%,0.00%,75.00%,25.00%,79.33%
2024-01-15,You,81.45%, --, --,95.63%,69.69%, --
2024-01-15,airbnb.com,23.25%,25.72%,12.16%,67.55%,7.55%,78.90%
2024-01-15,hellolanding.com,17.73%,19.92%,12.35%,72.94%,11.58%,79.45%
2024-01-15,hotelengine.com,< 10%,0.03%,0.00%,100.00%,0.00%,81.45%
2024-01-16,You,78.04%, --, --,95.50%,60.81%, --
2024-01-16,airbnb.com,20.47%,22.40%,12.56%,64.27%,7.30%,75.84%
2024-01-16,hellolanding.com,18.36%,20.86%,13.35%,64.98%,6.29%,75.87%
2024-01-16,hotelengine.com,< 10%,0.20%,71.43%,94.44%,83.33%,77.93%
2024-01-15,furnishedfinder.com,56.34%,63.68%,16.60%,85.47%,15.45%,72.84%
2024-01-15,evolve.com,19.94%,22.90%,31.96%,94.17%,27.17%,75.49%
2024-01-16,furnishedfinder.com,74.26%,83.32%,29.98%,93.63%,27.32%,58.55%
2024-01-16,evolve.com,18.93%,21.87%,28.12%,93.30%,23.33%,73.24%
2024-01-11,You,78.43%, --, --,95.45%,53.03%, --
2024-01-11,furnishedfinder.com,74.66%,82.89%,39.55%,94.33%,34.17%,52.72%
2024-01-11,evolve.com,22.19%,26.12%,34.01%,95.12%,28.75%,71.46%
2024-01-11,airbnb.com,20.22%,21.95%,15.88%,61.88%,6.94%,75.70%
2024-01-11,hellolanding.com,16.74%,18.74%,12.40%,57.35%,5.88%,76.61%
2024-01-11,hotelengine.com,14.53%,15.16%,21.95%,86.44%,15.42%,75.82%
