Brand Name,Category,Day,Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
Furnished Finder,Brand,2023-12-23,hellolanding.com,12.35,11.47,33.29,92.87,30.92,79.56
Furnished Finder,Brand,2024-01-03,hellolanding.com,10.38,11.68,28.92,94.78,25.49,39.22
Furnished Finder,Brand,2024-01-03,You,40.59, --, --,98.62,76.8, --
Furnished Finder,Brand,2023-12-25,airbnb.com,18.76,18.91,34.37,91.24,29.04,77.23
Furnished Finder,Brand,2023-12-25,hellolanding.com,15.26,14.44,26.49,94.51,28.62,79.44
Furnished Finder,Brand,2023-12-23,airbnb.com,18.76,18.43,38.74,90.27,32.71,76.82
Furnished Finder,Brand,2023-12-26,You,47.68, --, --,97.4,79.27, --
Furnished Finder,Brand,2023-12-25,You,82.59, --, --,97.66,82.65, --
Furnished Finder,Brand,2024-01-03,airbnb.com,18.85,21.49,33.43,95.11,31.22,37.68
Furnished Finder,Brand,2023-12-23,You,82.72, --, --,97.4,82.12, --
Furnished Finder,Brand,2023-12-26,airbnb.com,22.39,22.76,40.67,92.72,33.86,43.27
Furnished Finder,Brand,2023-12-26,hellolanding.com,14.79,14.11,34.89,90.96,32.52,45.34
Furnished Finder,Brand,2023-12-30,airbnb.com,17.33,19.44,32.21,95.44,29.37,67.17
Furnished Finder,Brand,2023-12-30,hellolanding.com,13.25,14.7,34.39,94.74,28.83,68.03
Furnished Finder,Brand,2023-12-30,You,71.65, --, --,98.34,72.13, --
Furnished Finder,Brand,2023-12-29,airbnb.com,15.1,17.34,29.43,95.5,28.04,60.64
Furnished Finder,Brand,2023-12-29,hellolanding.com,10.82,12.15,33.69,94.42,31.84,61.29
Furnished Finder,Brand,2023-12-29,You,63.9, --, --,98.33,81.02, --
Furnished Finder,Brand,2023-12-24,hellolanding.com,16.22,16.4,32.32,93.76,31.22,79.54
Furnished Finder,Brand,2024-01-02,You,45.88, --, --,98.5,78.62, --
Furnished Finder,Brand,2023-12-27,airbnb.com,13.2,14.44,33.25,94.12,30.3,58.53
Furnished Finder,Brand,2023-12-24,airbnb.com,18.39,18.98,36.36,93.64,31.34,78.19
Furnished Finder,Brand,2023-12-24,You,83.99, --, --,97.86,80.87, --
Furnished Finder,Brand,2024-01-02,airbnb.com,15.5,17.6,28.28,93.97,26.92,43.6
Furnished Finder,Brand,2024-01-02,hellolanding.com,< 10%,9.96,31.04,93.53,27.22,44.46
Furnished Finder,Brand,2023-12-27,You,61.48, --, --,98.29,83.99, --
Furnished Finder,Brand,2023-12-27,hellolanding.com,14.17,15.54,28.03,94.1,27.75,58.81
Furnished Finder,Brand,2023-12-21,hellolanding.com,12.44,12.47,45.09,92.63,39.71,73.93
Furnished Finder,Brand,2023-12-21,airbnb.com,17.89,18.17,51.67,93.64,42.17,70.98
Furnished Finder,Brand,2023-12-21,You,78.33, --, --,97.78,79.97, --
Furnished Finder,Brand,2023-12-22,You,81.23, --, --,97.25,82.56, --
Furnished Finder,Brand,2023-12-22,hellolanding.com,10.83,9.82,36.21,91.52,34.97,78.34
Furnished Finder,Brand,2023-12-22,airbnb.com,17.48,17.08,46.17,92.72,38.96,74.82
Furnished Finder,Brand,2023-12-31,airbnb.com,17.65,19.45,29.9,95.15,26.93,70.55
Furnished Finder,Brand,2023-12-31,hellolanding.com,13.32,14.71,28.49,96.27,24.51,71.76
Furnished Finder,Brand,2023-12-31,You,74.9, --, --,98.23,69.28, --
Furnished Finder,Brand,2023-12-28,hellolanding.com,10.64,11.88,29.9,93.33,26.69,56.62
Furnished Finder,Brand,2024-01-01,You,68.13, --, --,98.47,76.22, --
Furnished Finder,Brand,2023-12-28,You,58.7, --, --,98.19,83.15, --
