Date,Source,Medium,Campaign,Device,Sessions,TotalUsers,NewUsers,FF_Purchase_Event_Count,FF_Lead_Event_Count,FF_BRSubmit_Event_Count,FF_DMSubmit_Event_Count,FF_PhoneGet_Event_Count,FF_HRSubmit_Event_Count,HR_Submit_Event_New_Traveler_Lead_Count,Impressions,Clicks,Cost,Total Traveler Actions,Traveler Value,Landlord Value,Channel_Group,Campaign_Group,Week,Year
2023-08-21,google,cpc,City - Albuquerque,desktop,0,0,0,0,0,0,2,2,0,0,0,0,0.0,4,8,0,SEM Non-Brand,Google Search - Non-Brand (Other),34,2023
2023-08-21,google,cpc,City - Austin,desktop,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,SEM Non-Brand,Google Search - Non-Brand (Other),34,2023
2023-08-21,google,cpc,City - Boston,mobile,0,0,0,0,0,0,1,1,0,0,0,0,0.0,2,4,0,SEM Non-Brand,Google Search - Non-Brand (Other),34,2023
2023-08-21,google,cpc,City - Boston,desktop,0,0,0,0,0,0,2,1,0,0,0,0,0.0,3,6,0,SEM Non-Brand,Google Search - Non-Brand (Other),34,2023
2023-08-21,google,cpc,City - Boston,mobile,0,0,0,0,0,6,2,2,0,0,0,0,0.0,10,20,0,SEM Non-Brand,Google Search - Non-Brand (Other),34,2023
2023-08-21,google,cpc,City - Chicago,desktop,0,0,0,0,0,11,0,1,0,0,0,0,0.0,12,24,0,SEM Non-Brand,Google Search - Non-Brand (Other),34,2023
2023-08-21,google,cpc,City - Chicago,mobile,0,0,0,0,1,0,3,2,0,0,0,0,0.0,5,10,0,SEM Non-Brand,Google Search - Non-Brand (Other),34,2023
2023-08-21,google,cpc,City - Dallas,desktop,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,2,0,SEM Non-Brand,Google Search - Non-Brand (Other),34,2023
2023-08-21,google,cpc,City - Houston,mobile,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,2,0,SEM Non-Brand,Google Search - Non-Brand (Other),34,2023
2023-08-21,google,cpc,City - Houston,tablet,0,0,0,0,0,0,0,2,0,0,0,0,0.0,2,4,0,SEM Non-Brand,Google Search - Non-Brand (Other),34,2023
2023-08-21,google,cpc,City - Los Angeles,desktop,0,0,0,0,0,0,4,5,0,0,0,0,0.0,9,18,0,SEM Non-Brand,Google Search - Non-Brand (Other),34,2023
2023-08-21,google,cpc,City - Miami - CPC,desktop,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,2,0,SEM Non-Brand,Google Search - Non-Brand (Other),34,2023
2023-08-21,google,cpc,City - Nashville,mobile,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,SEM Non-Brand,Google Search - Non-Brand (Other),34,2023
2023-08-21,google,cpc,City - Orlando,desktop,0,0,0,0,0,1,3,1,0,0,0,0,0.0,5,10,0,SEM Non-Brand,Google Search - Non-Brand (Other),34,2023
2023-08-21,google,cpc,City - Salt Lake City,desktop,0,0,0,0,0,0,0,2,0,0,0,0,0.0,2,4,0,SEM Non-Brand,Google Search - Non-Brand (Other),34,2023
2023-08-21,google,cpc,City - Salt Lake City,mobile,0,0,0,0,0,0,0,5,0,0,0,0,0.0,5,10,0,SEM Non-Brand,Google Search - Non-Brand (Other),34,2023
