Date,Source,Medium,Campaign,Device,Sessions,TotalUsers,NewUsers,FF_Purchase_Event_Count,FF_Lead_Event_Count,FF_BRSubmit_Event_Count,FF_DMSubmit_Event_Count,FF_PhoneGet_Event_Count,FF_HRSubmit_Event_Count,HR_Submit_Event_New_Traveler_Lead_Count,Impressions,Impression_population,Clicks,Cost,Total Traveler Actions,Traveler Value,Landlord Value,Channel_Group
20230703,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,1,6,0,0,0,0.0,0,0.0,7,14,0,Paid Social + Display
20230704,google,cpc,Display - Retargeting,mobile,0,0,0,0,1,0,0,1,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20230705,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,4,4,0,0,0,0.0,0,0.0,8,16,0,Paid Social + Display
20230706,google,cpc,Display - Retargeting,mobile,0,0,0,1,2,0,0,2,0,0,0,0.0,0,0.0,2,4,240,Paid Social + Display
20230707,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,3,0,1,0,0,0,0.0,0,0.0,4,8,0,Paid Social + Display
20230708,google,cpc,Display - Retargeting,mobile,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20230710,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20230711,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0.0,2,4,0,Paid Social + Display
20230713,google,cpc,Display - Retargeting,mobile,0,0,0,1,1,0,1,0,0,0,0,0.0,0,0.0,1,2,240,Paid Social + Display
20230714,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20230716,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20230717,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20230720,google,cpc,Display - Retargeting,mobile,0,0,0,1,2,1,0,3,0,0,0,0.0,0,0.0,4,8,240,Paid Social + Display
20230721,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,1,1,0,0,0,0.0,0,0.0,2,4,0,Paid Social + Display
20230724,google,cpc,Display - Retargeting,mobile,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20230725,google,cpc,Display - Retargeting,mobile,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20230726,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20230729,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0.0,2,4,0,Paid Social + Display
