ISO_Year,ISO_Week,ISO_Week_Start_Date,LandingPage_Group,Channel_Group,Device_Group,FF_Purchase_Event_Count,FF_Lead_Event_Count,FF_BRSubmit_Event_Count,FF_DMSubmit_Event_Count,FF_PhoneGet_Event_Count,FF_HRSubmit_Event_Count,HR_Submit_Event_New_Traveler_Lead_Count
2023,26,2023-06-26,./corporate/,Other,NON-MOBILE,0,0,0,0,1,0,0
2023,26,2023-06-26,./corporate/,Paid,NON-MOBILE,0,0,0,2,0,0,0
2023,26,2023-06-26,./corporate/,SEO,MOBILE,0,0,15,8,18,0,0
2023,26,2023-06-26,./corporate/,SEO,NON-MOBILE,0,0,24,9,16,0,0
2023,26,2023-06-26,./housing/,Direct,MOBILE,0,4,30,19,48,0,0
2023,26,2023-06-26,./housing/,Direct,NON-MOBILE,1,2,24,55,46,0,0
2023,26,2023-06-26,./housing/,Other,MOBILE,0,0,2,1,6,0,0
2023,26,2023-06-26,./housing/,Other,NON-MOBILE,0,1,1,6,11,0,0
2023,26,2023-06-26,./housing/,Paid,MOBILE,1,5,50,47,57,0,0
2023,26,2023-06-26,./housing/,Paid,NON-MOBILE,0,0,91,69,74,0,0
2023,26,2023-06-26,./housing/,SEO,MOBILE,4,7,33,29,56,0,0
2023,26,2023-06-26,./housing/,SEO,NON-MOBILE,5,12,80,44,124,0,0
2023,26,2023-06-26,./housing/,Undefined,MOBILE,0,0,1,6,7,0,0
2023,26,2023-06-26,./housing/,Undefined,NON-MOBILE,0,0,0,2,3,0,0
2023,26,2023-06-26,./members/,Direct,MOBILE,13,37,26,100,127,0,0
2023,26,2023-06-26,./members/,Direct,NON-MOBILE,33,61,60,107,130,0,0
2023,26,2023-06-26,./members/,Other,MOBILE,0,0,1,15,9,0,0
2023,26,2023-06-26,./members/,Other,NON-MOBILE,0,0,3,12,14,0,0
2023,26,2023-06-26,./members/,Paid,MOBILE,4,9,31,59,49,0,0
2023,26,2023-06-26,./members/,Paid,NON-MOBILE,16,27,71,100,149,0,0
2023,26,2023-06-26,./members/,SEO,MOBILE,3,3,8,21,38,0,0
2023,26,2023-06-26,./members/,SEO,NON-MOBILE,14,24,72,114,146,0,0
2023,26,2023-06-26,./members/,Undefined,MOBILE,0,1,8,0,5,0,0
2023,26,2023-06-26,./members/,Undefined,NON-MOBILE,1,1,28,2,4,0,0
2023,26,2023-06-26,.Home,Direct,MOBILE,47,155,150,152,329,0,0
2023,26,2023-06-26,.Home,Direct,NON-MOBILE,76,140,168,273,287,0,0
2023,26,2023-06-26,.Home,Other,MOBILE,1,10,14,15,7,0,0
2023,26,2023-06-26,.Home,Other,NON-MOBILE,4,10,12,28,42,0,0
2023,26,2023-06-26,.Home,Paid,MOBILE,42,131,230,241,406,0,0
2023,26,2023-06-26,.Home,Paid,NON-MOBILE,57,145,282,282,472,0,0
2023,26,2023-06-26,.Home,SEO,MOBILE,8,42,62,83,153,0,0
2023,26,2023-06-26,.Home,SEO,NON-MOBILE,47,123,227,312,441,0,0
2023,26,2023-06-26,.Home,Undefined,MOBILE,0,2,4,4,5,0,0
2023,26,2023-06-26,.Home,Undefined,NON-MOBILE,0,0,4,4,2,0,0
2023,26,2023-06-26,.LYP,Direct,MOBILE,65,177,4,0,3,0,0
2023,26,2023-06-26,.LYP,Direct,NON-MOBILE,40,65,0,0,2,0,0
2023,26,2023-06-26,.LYP,Other,MOBILE,0,12,0,0,0,0,0
2023,26,2023-06-26,.LYP,Other,NON-MOBILE,2,5,0,0,1,0,0
2023,26,2023-06-26,.LYP,Paid,MOBILE,10,32,0,0,3,0,0
2023,26,2023-06-26,.LYP,Paid,NON-MOBILE,13,27,0,0,3,0,0
2023,26,2023-06-26,.LYP,SEO,MOBILE,1,10,0,0,0,0,0
2023,26,2023-06-26,.LYP,SEO,NON-MOBILE,11,20,0,0,0,0,0
2023,26,2023-06-26,.LYP,Undefined,MOBILE,4,10,0,0,1,0,0
2023,26,2023-06-26,.LYP,Undefined,NON-MOBILE,1,6,0,0,1,0,0
2023,26,2023-06-26,.Other,Direct,MOBILE,14,45,10,37,28,0,0
2023,26,2023-06-26,.Other,Direct,NON-MOBILE,8,33,17,23,36,0,0
2023,26,2023-06-26,.Other,Other,MOBILE,0,3,0,1,5,0,0
2023,26,2023-06-26,.Other,Other,NON-MOBILE,0,3,1,0,13,0,0
2023,26,2023-06-26,.Other,Paid,MOBILE,13,87,26,16,35,0,0
2023,26,2023-06-26,.Other,Paid,NON-MOBILE,26,67,34,47,57,0,0
2023,26,2023-06-26,.Other,SEO,MOBILE,3,15,6,10,7,0,0
2023,26,2023-06-26,.Other,SEO,NON-MOBILE,18,44,35,63,90,0,0
2023,26,2023-06-26,.Other,Undefined,MOBILE,1,5,0,1,3,0,0
2023,26,2023-06-26,.Other,Undefined,NON-MOBILE,0,1,0,1,1,0,0
2023,26,2023-06-26,.Property,Direct,MOBILE,2,5,112,167,374,0,0
2023,26,2023-06-26,.Property,Direct,NON-MOBILE,2,4,101,218,236,0,0
2023,26,2023-06-26,.Property,Other,MOBILE,0,1,15,2,16,0,0
2023,26,2023-06-26,.Property,Other,NON-MOBILE,0,0,15,34,38,0,0
2023,26,2023-06-26,.Property,Paid,MOBILE,0,1,69,88,210,0,0
2023,26,2023-06-26,.Property,Paid,NON-MOBILE,2,3,115,117,281,0,0
2023,26,2023-06-26,.Property,SEO,MOBILE,0,1,11,46,72,0,0
2023,26,2023-06-26,.Property,SEO,NON-MOBILE,4,6,159,218,308,0,0
2023,26,2023-06-26,.Property,Undefined,MOBILE,0,0,19,5,11,0,0
2023,26,2023-06-26,.Property,Undefined,NON-MOBILE,0,0,19,1,6,0,0
2023,27,2023-07-03,./corporate/,Direct,MOBILE,0,0,2,1,8,0,0
2023,27,2023-07-03,./corporate/,Direct,NON-MOBILE,0,0,2,0,15,0,0
2023,27,2023-07-03,./corporate/,Other,NON-MOBILE,0,0,1,5,8,0,0
2023,27,2023-07-03,./corporate/,Paid,NON-MOBILE,0,0,0,0,1,0,0
2023,27,2023-07-03,./corporate/,SEO,MOBILE,0,7,40,53,126,0,0
2023,27,2023-07-03,./corporate/,SEO,NON-MOBILE,2,7,68,72,128,0,0
2023,27,2023-07-03,./corporate/,Undefined,NON-MOBILE,0,0,0,0,3,0,0
2023,27,2023-07-03,./housing/,Direct,MOBILE,5,17,106,130,228,0,0
2023,27,2023-07-03,./housing/,Direct,NON-MOBILE,10,21,106,292,398,0,0
2023,27,2023-07-03,./housing/,Other,MOBILE,0,1,9,24,10,0,0
2023,27,2023-07-03,./housing/,Other,NON-MOBILE,1,1,12,78,77,0,0
2023,27,2023-07-03,./housing/,Paid,MOBILE,5,22,119,147,255,0,0
2023,27,2023-07-03,./housing/,Paid,NON-MOBILE,10,18,218,293,378,0,0
2023,27,2023-07-03,./housing/,SEO,MOBILE,6,22,99,133,240,0,0
2023,27,2023-07-03,./housing/,SEO,NON-MOBILE,15,47,235,284,698,0,0
2023,27,2023-07-03,./housing/,Undefined,MOBILE,0,1,3,11,23,0,0
2023,27,2023-07-03,./housing/,Undefined,NON-MOBILE,0,1,19,10,22,0,0
2023,27,2023-07-03,./members/,Direct,MOBILE,54,175,213,305,551,0,0
2023,27,2023-07-03,./members/,Direct,NON-MOBILE,137,266,321,594,641,0,0
2023,27,2023-07-03,./members/,Other,MOBILE,1,5,9,39,46,0,0
2023,27,2023-07-03,./members/,Other,NON-MOBILE,15,16,32,83,113,0,0
2023,27,2023-07-03,./members/,Paid,MOBILE,15,23,118,195,344,0,0
2023,27,2023-07-03,./members/,Paid,NON-MOBILE,75,104,293,474,764,0,0
2023,27,2023-07-03,./members/,SEO,MOBILE,7,17,110,137,162,0,0
2023,27,2023-07-03,./members/,SEO,NON-MOBILE,96,145,292,564,905,0,0
2023,27,2023-07-03,./members/,Undefined,MOBILE,2,4,5,7,10,0,0
2023,27,2023-07-03,./members/,Undefined,NON-MOBILE,2,8,26,32,68,0,0
2023,27,2023-07-03,.Home,Direct,MOBILE,176,583,572,788,1227,0,0
2023,27,2023-07-03,.Home,Direct,NON-MOBILE,320,648,882,1261,1803,0,0
2023,27,2023-07-03,.Home,Other,MOBILE,4,34,31,43,110,0,0
2023,27,2023-07-03,.Home,Other,NON-MOBILE,20,44,38,195,246,0,0
2023,27,2023-07-03,.Home,Paid,MOBILE,126,500,832,952,1532,0,0
2023,27,2023-07-03,.Home,Paid,NON-MOBILE,335,754,1115,1582,2157,0,0
2023,27,2023-07-03,.Home,SEO,MOBILE,50,194,313,401,697,0,0
2023,27,2023-07-03,.Home,SEO,NON-MOBILE,278,664,841,1392,1995,0,0
2023,27,2023-07-03,.Home,Undefined,MOBILE,2,5,26,10,23,0,0
2023,27,2023-07-03,.Home,Undefined,NON-MOBILE,1,1,15,6,54,0,0
2023,27,2023-07-03,.LYP,Direct,MOBILE,244,761,2,1,12,0,0
2023,27,2023-07-03,.LYP,Direct,NON-MOBILE,139,285,0,0,13,0,0
2023,27,2023-07-03,.LYP,Other,MOBILE,8,58,0,1,0,0,0
2023,27,2023-07-03,.LYP,Other,NON-MOBILE,6,15,0,0,0,0,0
2023,27,2023-07-03,.LYP,Paid,MOBILE,41,112,3,2,25,0,0
2023,27,2023-07-03,.LYP,Paid,NON-MOBILE,72,160,0,0,23,0,0
2023,27,2023-07-03,.LYP,SEO,MOBILE,26,77,0,0,1,0,0
2023,27,2023-07-03,.LYP,SEO,NON-MOBILE,52,121,0,0,2,0,0
2023,27,2023-07-03,.LYP,Undefined,MOBILE,4,25,0,0,0,0,0
2023,27,2023-07-03,.LYP,Undefined,NON-MOBILE,1,3,0,0,0,0,0
2023,27,2023-07-03,.Other,Direct,MOBILE,48,164,52,54,139,0,0
2023,27,2023-07-03,.Other,Direct,NON-MOBILE,47,135,99,159,225,0,0
2023,27,2023-07-03,.Other,Other,MOBILE,4,18,1,2,8,0,0
2023,27,2023-07-03,.Other,Other,NON-MOBILE,10,24,4,30,38,0,0
2023,27,2023-07-03,.Other,Paid,MOBILE,49,304,84,150,239,0,0
2023,27,2023-07-03,.Other,Paid,NON-MOBILE,85,246,127,227,318,0,0
2023,27,2023-07-03,.Other,SEO,MOBILE,20,59,29,40,92,0,0
2023,27,2023-07-03,.Other,SEO,NON-MOBILE,84,249,195,281,462,0,0
2023,27,2023-07-03,.Other,Undefined,MOBILE,2,18,11,1,13,0,0
2023,27,2023-07-03,.Other,Undefined,NON-MOBILE,1,5,12,10,14,0,0
2023,27,2023-07-03,.Property,Direct,MOBILE,6,22,509,663,1353,0,0
2023,27,2023-07-03,.Property,Direct,NON-MOBILE,11,30,574,922,1440,0,0
2023,27,2023-07-03,.Property,Other,MOBILE,0,5,26,59,72,0,0
