Date,LandingPage,Medium,Sessions,TotalUsers,NewUsers,EventCount
20240625,/members/pm-dashboard,(not set),20464,14105,0,77387
20240516,/members/pm-dashboard,(none),19835,13853,630,58812
20240603,/members/pm-dashboard,(none),19394,14168,945,62716
20240520,/members/pm-dashboard,(none),19205,14042,756,62338
20240625,/members/Tenant-Message,(not set),17694,10767,0,75876
20240625,/,(not set),15742,11460,567,55915
20240604,/members/pm-dashboard,(none),15490,12531,756,44455
20240521,/members/pm-dashboard,(none),15427,11082,504,47289
20240530,/members/pm-dashboard,(none),15427,12090,819,43573
20240606,/members/pm-dashboard,(none),15364,11208,252,45714
20240517,/members/pm-dashboard,(none),14923,10893,441,45337
20240610,/members/pm-dashboard,(none),14797,11208,567,45777
20240617,/members/pm-dashboard,(none),14797,11397,567,42062
20240529,/members/pm-dashboard,(none),14734,11649,441,41684
20240605,/members/pm-dashboard,(none),14608,10641,567,42251
20240523,/members/pm-dashboard,(none),14545,10327,567,46722
20240522,/members/pm-dashboard,(none),14231,10579,441,40173
20240624,/members/pm-dashboard,(none),13979,10767,504,39355
20240624,/,cpc,13727,11901,4848,53837
20240701,/members/pm-dashboard,(none),13727,11019,504,38473
20240528,/members/pm-dashboard,(none),13664,10704,819,38788
20240702,/members/pm-dashboard,(none),13412,9760,378,38095
20240618,/members/pm-dashboard,(none),13286,10075,315,41433
20240611,/members/pm-dashboard,(none),13223,10327,378,39921
20240602,/members/pm-dashboard,(none),12971,9571,441,37592
20240626,/members/pm-dashboard,(none),12845,10075,567,37592
20240709,/members/pm-dashboard,(none),12845,9886,315,32050
20240715,/members/pm-dashboard,(none),12782,9634,252,37906
20240613,/members/pm-dashboard,(none),12719,10327,882,40047
20240715,/members/pm-dashboard,cpc,12719,9256,0,38599
20240603,/,(none),12593,9886,3148,41873
20240612,/members/pm-dashboard,(none),12531,9634,189,37151
20240518,/members/pm-dashboard,(none),12405,9193,630,39103
20240619,/members/pm-dashboard,(none),12405,9508,504,35325
20240519,/members/pm-dashboard,(none),12342,9571,315,38662
20240607,/members/pm-dashboard,(none),12342,9067,315,37025
20240710,/members/pm-dashboard,(none),12279,10390,252,33939
20240628,/members/pm-dashboard,(none),12216,9256,126,34506
20240524,/members/pm-dashboard,(none),11964,9571,126,36269
20240626,/,cpc,11775,9886,4345,42818
20240627,/members/pm-dashboard,(none),11712,8438,126,32176
20240620,/members/pm-dashboard,(none),11649,9445,378,36332
20240711,/members/pm-dashboard,(none),11649,9067,252,33436
20240531,/members/pm-dashboard,(none),11586,9760,315,31799
20240621,/members/pm-dashboard,(none),11460,8312,252,32365
20240604,/,(none),11397,9823,3589,38347
20240712,/members/pm-dashboard,cpc,11334,7808,0,33310
20240527,/members/pm-dashboard,(none),11208,8627,378,30350
20240603,/members/pm-dashboard,cpc,11208,9130,0,32617
20240610,/,(none),11208,9319,3274,39606
20240624,/members/pm-dashboard,cpc,11145,8123,0,31295
20240625,/members/tenant-lead,(not set),11082,7178,0,45651
20240516,/members/Tenant-Message,(none),10956,6549,0,45903
20240530,/,(none),10956,9130,3400,36962
20240611,/members/pm-dashboard,cpc,10956,7304,0,36080
20240618,/members/pm-dashboard,cpc,10956,8312,0,38725
20240605,/,(none),10893,9697,3085,36269
20240519,/,(none),10704,9067,3085,35136
20240521,/members/pm-dashboard,cpc,10704,8060,0,32113
