ISO_Year,ISO_Week,ISO_Week_Start_Date,LandingPage_Group,Channel_Group,Device_Group,Sessions,TotalUsers,NewUsers,Pageviews
2023,26,2023-06-26,./corporate/,Direct,MOBILE,51,48,39,244
2023,26,2023-06-26,./corporate/,Direct,NON-MOBILE,48,36,27,214
2023,26,2023-06-26,./corporate/,Other,MOBILE,1,1,1,13
2023,26,2023-06-26,./corporate/,Other,NON-MOBILE,6,6,3,70
2023,26,2023-06-26,./corporate/,Paid,MOBILE,7,3,0,24
2023,26,2023-06-26,./corporate/,Paid,NON-MOBILE,6,4,0,33
2023,26,2023-06-26,./corporate/,SEO,MOBILE,1404,1348,1119,6452
2023,26,2023-06-26,./corporate/,SEO,NON-MOBILE,593,578,471,4123
2023,26,2023-06-26,./corporate/,Undefined,MOBILE,1,1,0,1
2023,26,2023-06-26,./housing/,Direct,MOBILE,2744,2471,1281,9511
2023,26,2023-06-26,./housing/,Direct,NON-MOBILE,751,706,212,5625
2023,26,2023-06-26,./housing/,Other,MOBILE,116,108,45,452
2023,26,2023-06-26,./housing/,Other,NON-MOBILE,67,59,6,723
2023,26,2023-06-26,./housing/,Paid,MOBILE,2670,2347,792,10209
2023,26,2023-06-26,./housing/,Paid,NON-MOBILE,967,900,326,8266
2023,26,2023-06-26,./housing/,SEO,MOBILE,1887,1738,825,9838
2023,26,2023-06-26,./housing/,SEO,NON-MOBILE,1063,1001,411,8550
2023,26,2023-06-26,./housing/,Undefined,MOBILE,49,49,0,467
2023,26,2023-06-26,./housing/,Undefined,NON-MOBILE,37,37,0,353
2023,26,2023-06-26,./members/,Direct,MOBILE,16087,13898,4677,59261
2023,26,2023-06-26,./members/,Direct,NON-MOBILE,7821,6705,1056,48984
2023,26,2023-06-26,./members/,Other,MOBILE,469,361,63,1890
2023,26,2023-06-26,./members/,Other,NON-MOBILE,604,503,20,4535
2023,26,2023-06-26,./members/,Paid,MOBILE,3156,2557,56,14605
2023,26,2023-06-26,./members/,Paid,NON-MOBILE,2968,2512,17,23144
2023,26,2023-06-26,./members/,SEO,MOBILE,2015,1630,119,9134
2023,26,2023-06-26,./members/,SEO,NON-MOBILE,3482,2847,63,25925
2023,26,2023-06-26,./members/,Undefined,MOBILE,206,206,0,1364
2023,26,2023-06-26,./members/,Undefined,NON-MOBILE,176,174,0,1452
2023,26,2023-06-26,.Home,Direct,MOBILE,14061,12256,6561,99776
2023,26,2023-06-26,.Home,Direct,NON-MOBILE,6092,5359,2361,58393
2023,26,2023-06-26,.Home,Other,MOBILE,658,574,354,3534
2023,26,2023-06-26,.Home,Other,NON-MOBILE,386,317,75,4052
2023,26,2023-06-26,.Home,Paid,MOBILE,12691,11309,7062,82098
2023,26,2023-06-26,.Home,Paid,NON-MOBILE,5895,5374,2895,60566
2023,26,2023-06-26,.Home,SEO,MOBILE,4704,4201,2329,31068
2023,26,2023-06-26,.Home,SEO,NON-MOBILE,4170,3756,1785,46913
2023,26,2023-06-26,.Home,Undefined,MOBILE,171,171,0,1141
2023,26,2023-06-26,.Home,Undefined,NON-MOBILE,56,56,0,444
2023,26,2023-06-26,.LYP,Direct,MOBILE,1143,1007,630,4689
2023,26,2023-06-26,.LYP,Direct,NON-MOBILE,308,247,103,2687
2023,26,2023-06-26,.LYP,Other,MOBILE,123,120,103,326
2023,26,2023-06-26,.LYP,Other,NON-MOBILE,25,25,8,159
2023,26,2023-06-26,.LYP,Paid,MOBILE,2763,2675,2233,5888
2023,26,2023-06-26,.LYP,Paid,NON-MOBILE,720,646,469,3016
2023,26,2023-06-26,.LYP,SEO,MOBILE,109,85,14,404
2023,26,2023-06-26,.LYP,SEO,NON-MOBILE,144,99,14,701
2023,26,2023-06-26,.LYP,Undefined,MOBILE,24,24,0,232
2023,26,2023-06-26,.LYP,Undefined,NON-MOBILE,5,5,0,191
2023,26,2023-06-26,.Other,Direct,MOBILE,4206,3923,1140,7668
2023,26,2023-06-26,.Other,Direct,NON-MOBILE,2858,2713,327,5906
2023,26,2023-06-26,.Other,Other,MOBILE,353,347,233,1013
2023,26,2023-06-26,.Other,Other,NON-MOBILE,430,376,48,22205
2023,26,2023-06-26,.Other,Paid,MOBILE,3551,3350,1564,11180
2023,26,2023-06-26,.Other,Paid,NON-MOBILE,2584,2470,447,9644
2023,26,2023-06-26,.Other,SEO,MOBILE,1715,1598,546,4572
2023,26,2023-06-26,.Other,SEO,NON-MOBILE,2791,2656,503,12619
2023,26,2023-06-26,.Other,Undefined,MOBILE,139,137,0,385
2023,26,2023-06-26,.Other,Undefined,NON-MOBILE,86,85,0,521
2023,26,2023-06-26,.Property,Direct,MOBILE,9911,7414,4464,21744
2023,26,2023-06-26,.Property,Direct,NON-MOBILE,6266,6062,5749,9893
2023,26,2023-06-26,.Property,Other,MOBILE,2845,2732,2531,6597
2023,26,2023-06-26,.Property,Other,NON-MOBILE,259,214,165,994
2023,26,2023-06-26,.Property,Paid,MOBILE,1194,680,61,3678
2023,26,2023-06-26,.Property,Paid,NON-MOBILE,319,213,7,2976
2023,26,2023-06-26,.Property,SEO,MOBILE,994,565,131,2809
2023,26,2023-06-26,.Property,SEO,NON-MOBILE,335,234,32,3262
2023,26,2023-06-26,.Property,Undefined,MOBILE,14,14,0,81
2023,26,2023-06-26,.Property,Undefined,NON-MOBILE,13,13,0,207
2023,27,2023-07-03,./corporate/,Direct,MOBILE,203,188,167,852
2023,27,2023-07-03,./corporate/,Direct,NON-MOBILE,159,111,81,951
2023,27,2023-07-03,./corporate/,Other,MOBILE,4,4,3,10
2023,27,2023-07-03,./corporate/,Other,NON-MOBILE,24,23,11,188
2023,27,2023-07-03,./corporate/,Paid,MOBILE,14,12,0,55
2023,27,2023-07-03,./corporate/,Paid,NON-MOBILE,14,14,0,63
2023,27,2023-07-03,./corporate/,SEO,MOBILE,5214,4999,4163,25462
2023,27,2023-07-03,./corporate/,SEO,NON-MOBILE,2822,2743,2211,19122
2023,27,2023-07-03,./corporate/,Undefined,MOBILE,9,9,0,23
2023,27,2023-07-03,./corporate/,Undefined,NON-MOBILE,4,4,0,29
2023,27,2023-07-03,./housing/,Direct,MOBILE,10448,9400,4714,35785
2023,27,2023-07-03,./housing/,Direct,NON-MOBILE,3314,3047,874,22114
2023,27,2023-07-03,./housing/,Other,MOBILE,346,326,115,1482
2023,27,2023-07-03,./housing/,Other,NON-MOBILE,374,342,34,3676
2023,27,2023-07-03,./housing/,Paid,MOBILE,9279,8253,2862,36183
2023,27,2023-07-03,./housing/,Paid,NON-MOBILE,4261,3990,1457,31592
2023,27,2023-07-03,./housing/,SEO,MOBILE,7169,6500,3118,35471
2023,27,2023-07-03,./housing/,SEO,NON-MOBILE,4632,4394,1728,36087
2023,27,2023-07-03,./housing/,Undefined,MOBILE,221,221,0,1419
2023,27,2023-07-03,./housing/,Undefined,NON-MOBILE,141,141,0,1369
2023,27,2023-07-03,./members/,Direct,MOBILE,63286,54753,19132,229205
2023,27,2023-07-03,./members/,Direct,NON-MOBILE,39294,33341,5469,242219
2023,27,2023-07-03,./members/,Other,MOBILE,1501,1137,133,6264
2023,27,2023-07-03,./members/,Other,NON-MOBILE,2692,1968,31,17809
2023,27,2023-07-03,./members/,Paid,MOBILE,11992,9523,260,52240
2023,27,2023-07-03,./members/,Paid,NON-MOBILE,15011,12542,64,114290
2023,27,2023-07-03,./members/,SEO,MOBILE,8336,6691,527,37887
2023,27,2023-07-03,./members/,SEO,NON-MOBILE,17277,14179,426,127544
2023,27,2023-07-03,./members/,Undefined,MOBILE,805,804,0,5826
2023,27,2023-07-03,./members/,Undefined,NON-MOBILE,748,739,0,6358
2023,27,2023-07-03,.Home,Direct,MOBILE,56495,49583,27032,405117
2023,27,2023-07-03,.Home,Direct,NON-MOBILE,29147,25593,11161,271109
