Channel Group,Campaign Group,FF_Lead_Event_Count_Actual,FF_Lead_Event_Count_LW,FF_Lead_Event_Count_WoW,FF_Purchase_Event_Count_Actual,FF_Purchase_Event_Count_LW,FF_Purchase_Event_Count_WoW,FF_BRSubmit_Event_Count_Actual,FF_BRSubmit_Event_Count_LW,FF_BRSubmit_Event_Count_WoW,FF_DMSubmit_Event_Count_Actual,FF_DMSubmit_Event_Count_LW,FF_DMSubmit_Event_Count_WoW,FF_PhoneGet_Event_Count_Actual,FF_PhoneGet_Event_Count_LW,FF_PhoneGet_Event_Count_WoW,Housing Requests_Actual,Housing Requests_LW,Housing Requests_WoW,Total Traveler Actions_Actual,Total Traveler Actions_LW,Total Traveler Actions_WoW,Traveler Value_Actual,Traveler Value_LW,Traveler Value_WoW,Landlord Value_Actual,Landlord Value_LW,Landlord Value_WoW,Sessions_Actual,Sessions_LW,Sessions_WoW,Lead_Conversion_Actual,Lead_Conversion_LW,Lead_Conversion_WoW
Bing SEM Total,Bing SEM Total,588.0,783.0,-0.24904214559386972,189.0,152.0,0.24342105263157898,548.0,644.0,-0.1490683229813664,1341.0,1547.0,-0.13316095669036843,1787.0,1945.0,-0.08123393316195371,154.0,239.0,-0.35564853556485354,3830.0,4375.0,-0.12457142857142856,7660.0,8750.0,-0.12457142857142856,45360.0,36480.0,0.24342105263157898,34591.0,40234.0,-0.14025451111000642,0.32142857142857145,0.194125159642401,0.6557800751879701
Direct,Direct,695.0,766.0,-0.09268929503916445,750.0,830.0,-0.09638554216867468,3581.0,4177.0,-0.14268613837682542,4727.0,5122.0,-0.07711831315892226,9023.0,10284.0,-0.1226176584986387,505.0,724.0,-0.3024861878453039,17836.0,20307.0,-0.12168217855911756,35672.0,40614.0,-0.12168217855911756,180000.0,199200.0,-0.09638554216867468,288501.0,313177.0,-0.07879250391950876,1.079136690647482,1.08355091383812,-0.004073849354251591
Email,Email,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,-1.0
Google SEM Total,Google SEM Total,1928.0,2196.0,-0.12204007285974494,614.0,709.0,-0.13399153737658676,4029.0,4163.0,-0.03218832572663943,5103.0,6043.0,-0.155551878206189,8753.0,10358.0,-0.15495269357018726,684.0,897.0,-0.23745819397993306,18569.0,21461.0,-0.13475606914868832,37138.0,42922.0,-0.13475606914868832,147360.0,170160.0,-0.13399153737658676,137097.0,157830.0,-0.13136285877209652,0.3184647302904564,0.32285974499089254,-0.013612767675821869
Non-Paid Total,Non-Paid Total,1393.0,1504.0,-0.07380319148936165,1194.0,1280.0,-0.06718749999999996,6557.0,7658.0,-0.1437712196395926,10101.0,11284.0,-0.10483870967741937,18078.0,22674.0,-0.2026991267531093,858.0,1276.0,-0.3275862068965517,35594.0,42892.0,-0.1701482793994218,71188.0,85784.0,-0.1701482793994218,286560.0,307200.0,-0.06718749999999996,443582.0,506324.0,-0.12391670155868573,0.8571428571428571,0.851063829787234,0.0071428571428571175
Organic Search (SEO),Organic Search (SEO),283.0,312.0,-0.09294871794871795,267.0,258.0,0.03488372093023262,2181.0,2686.0,-0.18801191362620995,3712.0,4509.0,-0.17675759591927254,6644.0,9555.0,-0.3046572475143904,250.0,392.0,-0.3622448979591837,12787.0,17142.0,-0.2540543693851359,25574.0,34284.0,-0.2540543693851359,64080.0,61920.0,0.03488372093023262,89706.0,112284.0,-0.20107940579245487,0.9434628975265018,0.8269230769230769,0.1409318760785605
Other,Other,44.0,30.0,0.46666666666666656,55.0,70.0,-0.2142857142857143,254.0,264.0,-0.037878787878787845,394.0,355.0,0.10985915492957754,862.0,905.0,-0.04751381215469608,25.0,74.0,-0.6621621621621622,1535.0,1598.0,-0.0394242803504381,3070.0,3196.0,-0.0394242803504381,13200.0,16800.0,-0.2142857142857143,25099.0,32055.0,-0.21700202776477928,1.25,2.3333333333333335,-0.4642857142857143
Paid Social + Display,Facebook Prospecting,222.0,263.0,-0.155893536121673,25.0,19.0,0.3157894736842106,9.0,16.0,-0.4375,2.0,14.0,-0.8571428571428572,37.0,32.0,0.15625,4.0,13.0,-0.6923076923076923,52.0,75.0,-0.30666666666666664,104.0,150.0,-0.30666666666666664,6000.0,4560.0,0.3157894736842106,6763.0,7630.0,-0.11363040629095678,0.11261261261261261,0.07224334600760456,0.5587956377430063
Paid Social + Display,Facebook Prospecting - Traveler,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,243.0,50.0,3.8600000000000003,0.0,0.0,-1.0
Paid Social + Display,Facebook Retargeting,6.0,6.0,0.0,7.0,5.0,0.3999999999999999,2.0,6.0,-0.6666666666666667,0.0,0.0,-1.0,1.0,1.0,0.0,1.0,6.0,-0.8333333333333334,4.0,13.0,-0.6923076923076923,8.0,26.0,-0.6923076923076923,1680.0,1200.0,0.3999999999999999,1138.0,1372.0,-0.1705539358600583,1.1666666666666667,0.8333333333333334,0.40000000000000013
