City,State,Total_Booking_Requests,Active_Listings,Booking_Requests_Last_6_Months,Booking_Requests_Last_12_Months,Booking_Requests_Before_2023,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10
San Diego,California,68172,3937.0,12048,20994,26407.0,1724.0,1707.0,2098.0,2365.0,2649.0,2148.0,2240.0,1775.0,1741.0,1827.0,1408.0,1190.0,1373.0,1394.0,1531.0,2130.0,1662.0,1880.0,2272.0,2015.0,2185.0,1951.0
Seattle,Washington,86703,3054.0,15424,32759,30212.0,1676.0,1938.0,2933.0,4114.0,3251.0,2489.0,2218.0,1921.0,1354.0,1541.0,1023.0,1170.0,1852.0,2159.0,4282.0,5901.0,4459.0,2572.0,2539.0,2547.0,2050.0,2133.0
Portland,Oregon,48323,2943.0,11527,19244,15911.0,1131.0,1159.0,1305.0,1453.0,1600.0,1657.0,1407.0,1242.0,880.0,1124.0,701.0,834.0,1067.0,1301.0,1671.0,1821.0,2469.0,2040.0,1802.0,1734.0,1867.0,1760.0
Denver,Colorado,39357,2847.0,9358,15437,11406.0,789.0,1128.0,1253.0,1533.0,1725.0,1453.0,1124.0,1334.0,1117.0,796.0,764.0,633.0,808.0,922.0,1238.0,1615.0,1792.0,1638.0,1509.0,1559.0,1727.0,1225.0
Phoenix,Arizona,38409,2543.0,7415,15088,11428.0,2087.0,1059.0,798.0,791.0,593.0,833.0,794.0,1343.0,1576.0,1624.0,1367.0,1644.0,1859.0,1323.0,853.0,799.0,869.0,622.0,933.0,1273.0,1628.0,1846.0
Los Angeles,California,37050,2485.0,9041,15228,11188.0,1160.0,934.0,830.0,979.0,1289.0,1094.0,1048.0,1143.0,876.0,1075.0,913.0,1017.0,1133.0,821.0,1061.0,1198.0,1209.0,1327.0,1234.0,1428.0,1938.0,1706.0
Austin,Texas,21904,2328.0,5469,9840,5287.0,713.0,723.0,588.0,611.0,648.0,362.0,663.0,892.0,771.0,612.0,608.0,550.0,783.0,816.0,873.0,739.0,801.0,772.0,771.0,921.0,1155.0,1099.0
Atlanta,Georgia,30686,2239.0,6262,12047,8074.0,853.0,894.0,1026.0,973.0,833.0,1336.0,983.0,1333.0,1071.0,1014.0,933.0,638.0,935.0,822.0,1062.0,1263.0,1149.0,961.0,1192.0,1038.0,984.0,984.0
Houston,Texas,20771,2208.0,5565,9740,3361.0,470.0,565.0,919.0,780.0,944.0,777.0,761.0,903.0,652.0,776.0,552.0,529.0,662.0,624.0,894.0,832.0,945.0,1018.0,967.0,882.0,800.0,980.0
Nashville,Tennessee,39465,2199.0,15620,21679,8280.0,616.0,526.0,1063.0,1296.0,984.0,929.0,990.0,987.0,921.0,947.0,688.0,525.0,871.0,1012.0,1330.0,1578.0,1433.0,1156.0,3735.0,3153.0,3090.0,3077.0
Tucson,Arizona,23560,1943.0,5235,9805,6851.0,991.0,587.0,459.0,406.0,505.0,443.0,544.0,868.0,845.0,979.0,1047.0,986.0,893.0,747.0,633.0,441.0,522.0,629.0,853.0,986.0,970.0,1117.0
Las Vegas,Nevada,12874,1911.0,2887,5666,3259.0,319.0,297.0,402.0,380.0,375.0,311.0,303.0,427.0,407.0,618.0,337.0,381.0,663.0,511.0,407.0,489.0,521.0,490.0,343.0,388.0,502.0,582.0
New Orleans,Louisiana,18511,1865.0,3761,7100,6254.0,796.0,465.0,486.0,436.0,419.0,293.0,357.0,563.0,540.0,643.0,581.0,715.0,700.0,586.0,409.0,395.0,440.0,655.0,463.0,574.0,657.0,832.0
Chicago,Illinois,44678,1808.0,13950,24000,6827.0,567.0,909.0,1736.0,1811.0,2076.0,1429.0,1644.0,1451.0,968.0,1047.0,706.0,720.0,1234.0,1472.0,2418.0,2851.0,3443.0,2830.0,2364.0,2036.0,2390.0,1517.0
Albuquerque,New Mexico,32458,1804.0,6552,11963,10165.0,828.0,517.0,923.0,725.0,1384.0,1131.0,1056.0,1313.0,1371.0,917.0,641.0,794.0,723.0,793.0,1092.0,1136.0,1204.0,1061.0,921.0,1291.0,1099.0,1116.0
San Francisco,California,32129,1736.0,7073,12833,10389.0,820.0,845.0,989.0,1619.0,1238.0,793.0,608.0,589.0,595.0,637.0,620.0,614.0,807.0,764.0,1140.0,1647.0,1447.0,1046.0,1195.0,947.0,1285.0,1242.0
Charlotte,North Carolina,22422,1730.0,5211,9037,6936.0,514.0,538.0,720.0,775.0,924.0,634.0,447.0,647.0,546.0,621.0,481.0,470.0,589.0,451.0,662.0,1052.0,789.0,695.0,578.0,737.0,1005.0,1449.0
Washington,District of Columbia,29931,1622.0,8341,15617,5326.0,486.0,415.0,564.0,1242.0,1234.0,1107.0,1066.0,1008.0,728.0,866.0,798.0,768.0,702.0,838.0,1581.0,2226.0,2587.0,1136.0,1426.0,1369.0,1357.0,920.0
Baltimore,Maryland,21519,1552.0,5210,9257,5668.0,509.0,432.0,586.0,598.0,762.0,781.0,764.0,781.0,702.0,512.0,532.0,479.0,654.0,716.0,780.0,881.0,1052.0,826.0,869.0,885.0,949.0,709.0
San Antonio,Texas,11862,1515.0,2626,4750,3702.0,285.0,263.0,248.0,377.0,410.0,410.0,370.0,324.0,280.0,372.0,345.0,265.0,223.0,339.0,435.0,469.0,469.0,417.0,457.0,311.0,434.0,565.0
Scottsdale,Arizona,15075,1467.0,3370,6392,3825.0,565.0,388.0,287.0,241.0,240.0,370.0,406.0,618.0,653.0,885.0,676.0,657.0,595.0,490.0,426.0,290.0,300.0,283.0,426.0,483.0,832.0,898.0
Oakland,California,15974,1404.0,3180,5790,5494.0,574.0,497.0,402.0,398.0,512.0,280.0,507.0,644.0,332.0,456.0,391.0,393.0,504.0,374.0,371.0,517.0,474.0,369.0,440.0,625.0,665.0,589.0
Sacramento,California,14402,1373.0,3547,5868,3973.0,458.0,223.0,403.0,340.0,392.0,434.0,518.0,494.0,556.0,654.0,276.0,427.0,423.0,326.0,438.0,443.0,491.0,497.0,618.0,636.0,618.0,675.0
Indianapolis,Indiana,22363,1333.0,5750,9748,4295.0,566.0,500.0,708.0,855.0,1026.0,1319.0,1097.0,803.0,854.0,531.0,467.0,524.0,618.0,648.0,737.0,919.0,887.0,1074.0,982.0,904.0,769.0,1131.0
Colorado Springs,Colorado,12346,1315.0,2936,5359,3138.0,208.0,262.0,357.0,366.0,516.0,359.0,574.0,388.0,374.0,362.0,291.0,255.0,315.0,506.0,532.0,475.0,685.0,499.0,462.0,488.0,408.0,416.0
Dallas,Texas,19677,1182.0,4243,7851,5488.0,526.0,519.0,924.0,989.0,704.0,605.0,510.0,563.0,405.0,453.0,484.0,350.0,426.0,376.0,900.0,979.0,750.0,700.0,554.0,696.0,940.0,724.0
Tampa,Florida,14786,1175.0,3194,6106,4111.0,593.0,529.0,558.0,335.0,364.0,362.0,430.0,392.0,445.0,446.0,394.0,487.0,521.0,540.0,513.0,479.0,364.0,452.0,376.0,334.0,585.0,1013.0
Saint Petersburg,Florida,17123,1171.0,4182,7159,4998.0,708.0,519.0,446.0,314.0,373.0,332.0,397.0,582.0,710.0,455.0,600.0,537.0,592.0,455.0,426.0,427.0,360.0,384.0,359.0,398.0,890.0,1578.0
