City,State Abbreviation,Total Listings,Keyword,Top Keyword Monthly Searches,corporate_monthly_searches,furnished_monthly_searches,short term_monthly_searches,month_monthly_searches,sublet_monthly_searches,by owner_monthly_searches,landlord_monthly_searches,Average Monthly Searches_corporate_monthly_searches,Average Monthly Searches_furnished_monthly_searches,Average Monthly Searches_short term_monthly_searches,Average Monthly Searches_month_monthly_searches,Average Monthly Searches_sublet_monthly_searches,Average Monthly Searches_by owner_monthly_searches,Average Monthly Searches_landlord_monthly_searches
Addison,TX,13,homes for rent by owner addison tx,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Alachua,FL,13,alachua fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Albuquerque,NM,1242,houses for rent in albuquerque by owner,1300,,,,,,,,210.0,880.0,720.0,260.0,0.0,1300.0,
Alexandria,VA,179,houses for rent by owner in alexandria va,5400,,,,,,,,90.0,260.0,390.0,40.0,50.0,5400.0,10.0
Altamonte Springs,FL,31,houses for rent by owner in altamonte springs,2400,,,,,,,,0.0,10.0,20.0,0.0,0.0,2400.0,
Alva,FL,4,for rent by owner alva fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Amherst,NY,7,furnished apartments amherst ny,40,,,,,,,,0.0,40.0,20.0,10.0,0.0,0.0,
Anaheim,CA,97,house for rent by owner anaheim ca,4400,,,,,,,,10.0,70.0,210.0,0.0,0.0,4400.0,
Anna Maria,FL,1,anna maria island for rent by owner,480,,,,,,,,0.0,0.0,140.0,170.0,0.0,480.0,
Annapolis,MD,114,short term rentals annapolis,320,,,,,,,,50.0,90.0,320.0,10.0,0.0,140.0,
Anthony,FL,2,anthony fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Apalachicola,FL,1,long term rentals near apalachicola fl,50,,,,,,,,0.0,0.0,0.0,20.0,0.0,0.0,
Apollo Beach,FL,22,short term rentals apollo beach fl,20,,,,,,,,0.0,0.0,20.0,20.0,0.0,20.0,
Apopka,FL,29,house for rent in apopka by owner,260,,,,,,,,0.0,10.0,0.0,0.0,0.0,260.0,
Arcadia,FL,2,monthly rentals in arcadia fl,30,,,,,,,,0.0,0.0,0.0,30.0,0.0,20.0,
Archer,FL,1,archer fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Arlington,VA,137,arlington va short term rentals,480,,,,,,,,170.0,480.0,480.0,50.0,140.0,90.0,
Aspen,CO,1,aspen long term rentals,260,,,,,,,,0.0,0.0,140.0,70.0,0.0,0.0,
