City,State Abbreviation,total_listings
,CA,1
,TX,1
--Please Select city--,MD,2
ATLANTA,GA,1
Aaronsburg,PA,1
Abbeville,GA,1
Abbeville,LA,4
Abbeville,SC,4
Abbot,ME,3
Abbotsford,WI,1
Abbott,TX,3
Abell,MD,2
Aberdeen,MD,7
Aberdeen,NC,28
Aberdeen,OH,1
Aberdeen,SD,25
Aberdeen,WA,34
Abilene,KS,1
Abilene,TX,136
Abingdon,MD,13
Abingdon,VA,28
Abington,MA,8
Abington,PA,4
Abita Springs,LA,9
Absarokee,MT,1
Absecon,NJ,4
Acampo,CA,11
Accident,MD,1
Accokeek,MD,15
Accomac,VA,2
Accord,NY,6
Achille,OK,1
Acme,MI,2
Acton,CA,3
Acton,MA,7
Acton,ME,1
Acushnet,MA,2
Acworth,GA,74
Acworth,NH,1
Ada,MI,2
Ada,MN,1
Ada,OK,22
Adair,IA,1
Adairsville,GA,2
Adams,MA,5
Adams,NY,3
Adams,TN,3
Adams Center,NY,1
Adamstown,MD,1
Adamsville,AL,1
Adamsville,TN,1
Addison,IL,5
Addison,ME,4
Addison,MI,2
Addison,NY,1
Addison,VT,3
Adel,GA,1
Adel,IA,2
Adelanto,CA,2
Adelphi,MD,6
Adkins,TX,2
Adna,WA,1
Adrian,MI,10
Advance,IN,2
Advance,MO,1
Advance,NC,6
Affton,MO,11
Afton,MN,1
Afton,OK,6
Afton,TN,1
Afton,VA,10
Afton,WY,1
Agawam,MA,17
Agency,IA,4
Agoura Hills,CA,11
Agua Dulce,CA,4
Aguanga,CA,1
Aguila,AZ,3
Aguilar,CO,1
Ahmeek,MI,2
Ahoskie,NC,4
Aiea,HI,25
Aiken,SC,51
Airway Heights,WA,4
Aitkin,MN,5
Ajo,AZ,2
Akiak,AK,1
Akron,CO,1
Akron,NY,1
Akron,OH,135
Akron,PA,5
Alabaster,AL,3
Alachua,FL,13
Aladdin,WY,1
Alamance,NC,3
Alameda,CA,133
Alamo,CA,24
Alamo,TX,1
Alamogordo,NM,38
Alamosa,CO,17
Alanson,MI,3
Albany,CA,17
Albany,GA,91
Albany,IN,2
Albany,NY,215
Albany,OH,2
Albany,OR,94
Albany,WI,3
Albemarle,NC,5
Albert Lea,MN,8
Alberton,MT,1
Albertville,AL,1
Albion,CA,2
Albion,ME,3
Albion,MI,4
Albion,NY,1
Albion,PA,1
Albion,RI,2
Albright,WV,1
Albrightsville,PA,5
Alburgh,VT,5
Alburnett,IA,1
Alcoa,TN,5
Alden,MI,1
Alden,NY,2
Alder,MT,1
Aldie,VA,11
Aledo,TX,8
Alexander,AR,2
Alexander,NC,13
Alexander City,AL,3
Alexandria,KY,2
Alexandria,LA,27
Alexandria,MN,7
Alexandria,OH,2
Alexandria,PA,2
Alexandria Bay,NY,5
Alexis,IL,1
Alfred,ME,5
Alfred Station,NY,1
Algoma,WI,8
Algona,IA,1
Algona,WA,1
Algonac,MI,3
Algonquin,IL,8
Alhambra,CA,33
Aliquippa,PA,4
Aliso Viejo,CA,30
Allegan,MI,3
Allegany,NY,4
Allen,TX,37
Allen Park,MI,3
Allendale,MI,2
Allenhurst,GA,1
Allenhurst,NJ,2
Allenspark,CO,2
Allenstown,NH,1
Allentown,PA,46
Allenwood,PA,1
Alliance,NE,6
Alliance,OH,1
Alloway,NJ,1
Allston,MA,19
Allyn,WA,7
Alma,AR,1
Alma,CO,1
Alma,MI,2
Almo,KY,1
Almond,NY,1
Almond,WI,1
Almont,CO,1
Alpena,MI,15
Alpharetta,GA,65
Alpine,AL,1
Alpine,CA,6
Alpine,NY,1
Alpine,TN,1
Alpine,TX,7
Alpine,UT,5
Alpine,WY,4
Alplaus,NY,1
Alstead,NH,2
Alta,CA,1
Alta Loma,CA,7
Altadena,CA,35
Altamonte Springs,FL,50
Altmar,NY,1
Alto,MI,3
Alto,NM,5
Alton,IL,21
Alton,NH,3
Alton,TX,2
Alton,VA,4
Alton Bay,NH,7
Altoona,IA,2
Altoona,PA,34
Altoona,WI,4
Alturas,CA,5
Altus,AR,1
Altus,OK,4
Alum Creek,WV,1
Alva,FL,6
Alvarado,TX,1
Alvin,TX,3
Alviso,CA,2
Amador City,CA,3
Amana,IA,4
Amargosa Valley,NV,1
Amarillo,TX,106
Ambler,PA,2
Amelia,LA,1
Amelia,OH,3
Amelia Court House,VA,3
Amenia,NY,1
American Canyon,CA,24
American Falls,ID,2
American Fork,UT,32
Americus,GA,4
Amery,WI,3
Ames,IA,18
Amesbury,MA,13
Amherst,MA,2
Amherst,NE,2
Amherst,NH,8
Amherst,OH,2
Amherst,VA,6
Amherst Junction,WI,2
Amissville,VA,1
Amity,OR,3
Amityville,NY,7
Ammon,ID,12
Amsterdam,NY,9
Anaconda,MT,44
Anacortes,WA,54
Anahola,HI,2
Anahuac,TX,1
Anamosa,IA,1
Anchor Point,AK,1
Anchorage,AK,792
Ancram,NY,1
Andalusia,AL,1
Anderson,CA,8
Anderson,IN,18
Anderson,SC,62
Anderson Island,WA,1
Andersonville,TN,3
Andover,CT,1
Andover,KS,4
Andover,MA,12
Andover,ME,2
Andover,MN,7
Andover,NH,3
Andover,NJ,1
Andover,VT,2
Andrews,NC,4
Angel Fire,NM,3
Angels Camp,CA,8
Angier,NC,8
Angleton,TX,1
Angola,IN,2
Angola,NY,5
Angora,MN,1
Angwin,CA,7
Animas,NM,1
Anita,IA,1
Anita,PA,1
Ankeny,IA,16
Ann Arbor,MI,64
Anna,IL,2
Anna,TX,5
Anna Maria,FL,1
Annandale,MN,1
Annandale,VA,49
Anniston,AL,9
