Ad group performance - Ad Group & Campaign Inventory
"January 1, 2024 - June 6, 2024"
Account name,Customer ID,Ad group ID,Ad group,Campaign ID,Campaign,Campaign state,Ad group state,Campaign type,Campaign subtype,Labels on Ad group,Ad group bid strategy,Ad group bid strategy type,Ad group sitelinks: active,Ad group sitelinks: disapproved,Ad group sitelinks level,Ad group phone numbers: active,Ad group phone numbers: disapproved,Ad group phone numbers level,Ad group apps: active,Ad group apps: disapproved,Ad group apps level,Ad group desktop bid adj.,Ad group mobile bid adj.,Ad group tablet bid adj.,Ads: active,Ads: disapproved,Keywords: active,Keywords: disapproved,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
Furnished Finder,755-457-3980,59187706719,Furnished Finder - Brand,1589364469,Furnished Finder,Paused,Paused,Search,All features,Brand, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,59357853559,Furnished Apartments,1593862015,Furnished Apartments,Paused,Enabled,Search,All features, --, --,Manual CPC,0,0, --,0,0, --,0,0, --, +10%, --, --,2,0,2,0,"26,134","120,119",21.76%,USD,1.10,28697.34,33.01%,82.35%,"3,157.07",0,9.09,12.08%
Furnished Finder,755-457-3980,59987414375,Travel Nurse Housing,1589364469,Furnished Finder,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,13,0,"2,125","9,160",23.20%,USD,3.12,6637.33,26.37%,93.57%,529.59,0,12.53,24.92%
Furnished Finder,755-457-3980,66264401713,Travel Nurse Rentals,1589364469,Furnished Finder,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,5,0,"12,939","43,491",29.75%,USD,4.68,60612.63,41.56%,94.52%,"3,151.47",0,19.23,24.36%
Furnished Finder,755-457-3980,69465539897,Rent My House,1725633590,Furnished Monthly Rentals,Paused,Paused,Search,All features, --, --,Manual CPC,0,0, --,0,0, --,0,0, --, +10%,-10%,-20%,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,69583613165,Long Term Furnished Rentals,1725633590,Furnished Monthly Rentals,Paused,Paused,Search,All features, --, --,Manual CPC,0,0, --,0,0, --,0,0, --, +10%,-10%,-20%,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,70309716711,Monthly Furnished Rentals,1725633590,Furnished Monthly Rentals,Paused,Enabled,Search,All features, --, --,Manual CPC,0,0, --,0,0, --,0,0, --, +10%,-10%, +10%,2,0,6,0,"52,145","189,420",27.53%,USD,1.58,82635.44,49.18%,88.54%,"9,791.45",0,8.44,18.78%
Furnished Finder,755-457-3980,70991911592,Monthly Vacation Rentals,1725633590,Furnished Monthly Rentals,Paused,Enabled,Search,All features, --, --,Manual CPC,0,0, --,0,0, --,0,0, --, +10%,-10%,-20%,3,0,6,0,"17,623","120,536",14.62%,USD,0.89,15754.50,20.67%,83.79%,855.38,0,18.42,4.85%
Furnished Finder,755-457-3980,71257530926,Monthly Hotels,2046187134,Monthly Hotels,Removed,Enabled,Search,All features, --, --,CPC (enhanced),0,0, --,0,0, --,0,0, --, --, --, --,1,0,1,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,71850189507,Ad group 2 Blue,1725633590,Furnished Monthly Rentals,Paused,Paused,Search,All features, --, --,Manual CPC,0,0, --,0,0, --,0,0, --, +10%,-10%,-20%,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,72194819884,CHBO,1725633590,Furnished Monthly Rentals,Paused,Paused,Search,All features, --, --,Manual CPC,0,0, --,0,0, --,0,0, --, +10%,-10%,-20%,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,74182921800,Airbnb Alternatives,1725633590,Furnished Monthly Rentals,Paused,Paused,Search,All features, --, --,Manual CPC,0,0, --,0,0, --,0,0, --, +10%,-10%,-20%,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,76284311190,Monthly Hotels,2045972593,Monthly Hotels,Paused,Enabled,Search,All features, --, --,Manual CPC,0,0, --,0,0, --,0,0, --, --, --, --,1,0,1,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,79729775038,2nd address,1589364469,Furnished Finder,Paused,Paused,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,138326258066,Mid Term Rentals,1725633590,Furnished Monthly Rentals,Paused,Enabled,Search,All features, --, --,Manual CPC,0,0, --,0,0, --,0,0, --, +10%,-10%,-20%,2,0,1,0,"5,254","26,424",19.88%,USD,1.92,10098.70,44.57%,86.82%,423.78,0,23.83,8.07%
Furnished Finder,755-457-3980,140763863170,San Diego - Furnished Apartments,19610967757,City - San Diego,Paused,Enabled,Search,All features,City Ad Group, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,16,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,140763863210,San Diego - Furnished Rentals,19610967757,City - San Diego,Paused,Enabled,Search,All features,City Ad Group, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,4,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,140763863250,San Diego - Corporate Housing,19610967757,City - San Diego,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,140763863410,San Diego - Corporate Rentals,19610967757,City - San Diego,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,140763866050,Phoenix - Furnished Apartments,19610781086,City - Phoenix,Paused,Enabled,Search,All features,City Ad Group, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,16,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,140763866090,Phoenix - Furnished Rentals,19610781086,City - Phoenix,Paused,Enabled,Search,All features,City Ad Group, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,4,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,140763866130,Phoenix - Corporate Housing,19610781086,City - Phoenix,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,140763866290,Phoenix - Corporate Rentals,19610781086,City - Phoenix,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,141625198271,Digital Nomad Housing,1725633590,Furnished Monthly Rentals,Paused,Enabled,Search,All features, --, --,Manual CPC,0,0, --,0,0, --,0,0, --, +10%,-10%,-20%,2,0,5,0,307,"3,241",9.47%,USD,2.63,806.27,42.80%,77.24%,9.58,0,84.14,3.12%
Furnished Finder,755-457-3980,143457586221,Albuquerque - Furnished Apartments,19759231574,City - Albuquerque,Paused,Enabled,Search,All features,City Ad Group, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,16,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,143457586261,Albuquerque - Corporate Housing,19759231574,City - Albuquerque,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,143457586301,Albuquerque - Furnished Rentals,19759231574,City - Albuquerque,Paused,Enabled,Search,All features,City Ad Group, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,4,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,143457586461,Albuquerque - Corporate Rentals,19759231574,City - Albuquerque,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,143950181445,Los Angeles - Furnished Apartments,19610781050,City - Los Angeles,Paused,Enabled,Search,All features,City Ad Group, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,16,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,143950181485,Los Angeles - Furnished Rentals,19610781050,City - Los Angeles,Paused,Enabled,Search,All features,City Ad Group, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,4,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,143950181645,Los Angeles - Corporate Housing,19610781050,City - Los Angeles,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,143950181685,Los Angeles - Corporate Rentals,19610781050,City - Los Angeles,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,143950183365,Dallas - Furnished Apartments,19602771489,City - Dallas,Paused,Enabled,Search,All features,City Ad Group, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,16,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,143950183405,Dallas - Furnished Rentals,19602771489,City - Dallas,Paused,Enabled,Search,All features,City Ad Group, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,4,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,143950183565,Dallas - Corporate Housing,19602771489,City - Dallas,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,143950183605,Dallas - Corporate Rentals,19602771489,City - Dallas,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,144205691014,Tampa Bay - Furnished Apartments,19602771525,City - Tampa Bay,Paused,Enabled,Search,All features,City Ad Group, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,16,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,144205691174,Tampa Bay - Furnished Rentals,19602771525,City - Tampa Bay,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,4,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,144205691214,Tampa Bay - Corporate Housing,19602771525,City - Tampa Bay,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,144205691254,Tampa Bay - Corporate Rentals,19602771525,City - Tampa Bay,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,145228679903,Nashville - Furnished Apartments,19759604389,City - Nashville,Paused,Enabled,Search,All features,City Ad Group, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,16,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,145228679943,Nashville - Corporate Housing,19759604389,City - Nashville,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,145228679983,Nashville - Furnished Rentals,19759604389,City - Nashville,Paused,Enabled,Search,All features,City Ad Group, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,4,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,145228680143,Nashville - Corporate Rentals,19759604389,City - Nashville,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,145228681663,Charleston - Furnished Apartments,19759226138,City - Charleston,Paused,Enabled,Search,All features,City Ad Group, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,16,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,145228681823,Charleston - Corporate Housing,19759226138,City - Charleston,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,145228681863,Charleston - Furnished Rentals,19759226138,City - Charleston,Paused,Enabled,Search,All features,City Ad Group, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,4,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,145228681903,Charleston - Corporate Rentals,19759226138,City - Charleston,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,8,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Furnished Finder,755-457-3980,145944872856,San Francisco - Furnished Apartments,19602771090,City - San Francisco,Paused,Enabled,Search,All features,City Ad Group, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,16,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
