Account name,Customer ID,Ad group ID,Ad group,Campaign ID,Campaign,Custom Parameter Key name,Custom Parameter Value Unencoded
Furnished Finder,755-457-3980,1.54877E+11,Corporate,20875775163,Search - Corporate,_adgroup,Corporate
Furnished Finder,755-457-3980,1.54877E+11,Corporate - Extended,20875775163,Search - Corporate,_adgroup,Corporate - Extended
Furnished Finder,755-457-3980,1.54877E+11,Corporate - Furnished,20875775163,Search - Corporate,_adgroup,Corporate - Furnished
Furnished Finder,755-457-3980,1.54877E+11,Corporate - Long Term,20875775163,Search - Corporate,_adgroup,Corporate - Long Term
Furnished Finder,755-457-3980,1.54877E+11,Corporate - Short Term,20875775163,Search - Corporate,_adgroup,Corporate - Short Term
Furnished Finder,755-457-3980,1.54877E+11,Executive - Apartments,20875775163,Search - Corporate,_adgroup,Executive - Apartments
Furnished Finder,755-457-3980,1.54877E+11,Professionals,20875775163,Search - Corporate,_adgroup,Professionals
Furnished Finder,755-457-3980,1.54877E+11,Professionals - Furnished,20875775163,Search - Corporate,_adgroup,Professionals - Furnished
Furnished Finder,755-457-3980,1.54877E+11,Professionals - Short Term,20875775163,Search - Corporate,_adgroup,Professionals - Short Term
Furnished Finder,755-457-3980,1.54877E+11,Professionals - Temporary,20875775163,Search - Corporate,_adgroup,Professionals - Temporary
Furnished Finder,755-457-3980,1.55651E+11,Travel Nurse Housing,20885986489,Search - Travel Nurse Housing,_adgroup,Travel Nurse Housing
Furnished Finder,755-457-3980,1.55651E+11,Furnished Finder - Brand,20885987002,FF - Search - Brand,_adgroup,Furnished Finder - Brand
Furnished Finder,755-457-3980,1.56398E+11,Apartments - Extended,20882340428,Search - Housing,_adgroup,Apartments - Extended
Furnished Finder,755-457-3980,1.56398E+11,Apartments - Furnished,20882340428,Search - Housing,_adgroup,Apartments - Furnished
Furnished Finder,755-457-3980,1.56398E+11,Apartments - Weekly,20882340428,Search - Housing,_adgroup,Apartments - Weekly
Furnished Finder,755-457-3980,1.56398E+11,Extended,20882340428,Search - Housing,_adgroup,Extended
Furnished Finder,755-457-3980,1.56398E+11,Extended - Furnished,20882340428,Search - Housing,_adgroup,Extended - Furnished
Furnished Finder,755-457-3980,1.56398E+11,Extended - Short Term,20882340428,Search - Housing,_adgroup,Extended - Short Term
Furnished Finder,755-457-3980,1.56398E+11,Housing - Furnished,20882340428,Search - Housing,_adgroup,Housing - Furnished
Furnished Finder,755-457-3980,1.56398E+11,Long Term,20882340428,Search - Housing,_adgroup,Long Term
Furnished Finder,755-457-3980,1.56398E+11,Long Term - Furnished,20882340428,Search - Housing,_adgroup,Long Term - Furnished
Furnished Finder,755-457-3980,1.56398E+11,Monthly,20882340428,Search - Housing,_adgroup,Monthly
Furnished Finder,755-457-3980,1.56398E+11,Monthly - Furnished,20882340428,Search - Housing,_adgroup,Monthly - Furnished
Furnished Finder,755-457-3980,1.56398E+11,Short Term,20882340428,Search - Housing,_adgroup,Short Term
Furnished Finder,755-457-3980,1.56398E+11,Short Term - Furnished,20882340428,Search - Housing,_adgroup,Short Term - Furnished
Furnished Finder,755-457-3980,1.56398E+11,Travel Nurse - Accommodations,20875775175,Search - Travel Nurse,_adgroup,Travel Nurse - Accommodations
Furnished Finder,755-457-3980,1.56398E+11,Travel Nurse - Apartments,20875775175,Search - Travel Nurse,_adgroup,Travel Nurse - Apartments
Furnished Finder,755-457-3980,1.56398E+11,Travel Nurse - Corporate,20875775175,Search - Travel Nurse,_adgroup,Travel Nurse - Corporate
Furnished Finder,755-457-3980,1.56398E+11,Travel Nurse - Furnished,20875775175,Search - Travel Nurse,_adgroup,Travel Nurse - Furnished
Furnished Finder,755-457-3980,1.56398E+11,Travel Nurse - Housing,20875775175,Search - Travel Nurse,_adgroup,Travel Nurse - Housing
Furnished Finder,755-457-3980,1.56398E+11,Travel Nurse - Lodging,20875775175,Search - Travel Nurse,_adgroup,Travel Nurse - Lodging
Furnished Finder,755-457-3980,1.56398E+11,Travel Nurse - Long Term,20875775175,Search - Travel Nurse,_adgroup,Travel Nurse - Long Term
Furnished Finder,755-457-3980,1.56398E+11,Travel Nurse - Monthly,20875775175,Search - Travel Nurse,_adgroup,Travel Nurse - Monthly
Furnished Finder,755-457-3980,1.56398E+11,Travel Nurse - Rental,20875775175,Search - Travel Nurse,_adgroup,Travel Nurse - Rental
Furnished Finder,755-457-3980,1.56398E+11,Travel Nurse - Room,20875775175,Search - Travel Nurse,_adgroup,Travel Nurse - Room
Furnished Finder,755-457-3980,1.56398E+11,Travel Nurse - Short Term,20875775175,Search - Travel Nurse,_adgroup,Travel Nurse - Short Term
Furnished Finder,755-457-3980,1.56398E+11,Travel Nurse - Temporary,20875775175,Search - Travel Nurse,_adgroup,Travel Nurse - Temporary
Furnished Finder,755-457-3980,1.57572E+11,Healthcare - Housing,20882340167,Search - Healthcare,_adgroup,Healthcare - Housing
Furnished Finder,755-457-3980,1.57572E+11,Healthcare - Short Term,20882340167,Search - Healthcare,_adgroup,Healthcare - Short Term
Furnished Finder,755-457-3980,1.57579E+11,Rental - Furnished,20882340428,Search - Housing,_adgroup,Rental - Furnished
Furnished Finder,755-457-3980,1.57579E+11,Mid Term,20882340428,Search - Housing,_adgroup,Mid Term
Furnished Finder,755-457-3980,1.5988E+11,Landlord - Rent My House,20875774446,Search - Landlord,_adgroup,Landlord - Rent My House
Furnished Finder,755-457-3980,1.60745E+11,Furnished Finder - Brand,21167566962,FF - Search - Brand  - Max Conv Bidding,_adgroup,Furnished Finder - Brand
Furnished Finder,755-457-3980,1.61299E+11,Competitor - STR - STR Ban,21251323809,Search - Competitors,_adgroup,Competitor - STR - STR Ban
Furnished Finder,755-457-3980,1.61299E+11,Competitor - STR - VR Alternatives,21251323809,Search - Competitors,_adgroup,Competitor - STR - VR Alternatives
Furnished Finder,755-457-3980,1.61299E+11,Competitor - MTR - Hellolanding,21251323809,Search - Competitors,_adgroup,Competitor - MTR - Hellolanding
Furnished Finder,755-457-3980,1.61299E+11,Competitor - LTR - Apartmentlist,21251323809,Search - Competitors,_adgroup,Competitor - LTR - Apartmentlist
Furnished Finder,755-457-3980,1.61299E+11,Competitor - STR - Airbnb,21251323809,Search - Competitors,_adgroup,Competitor - STR - Airbnb
