Account name,Customer ID,Ad group ID,Ad group,Campaign ID,Campaign,Custom Parameter Key name,Custom Parameter Value Unencoded,Custom Parameter Value Encoded
Furnished Finder,755-457-3980,154877000000.0,Corporate,20875775163,Search - Corporate,_adgroup,Corporate,Corporate
Furnished Finder,755-457-3980,154877000000.0,Corporate - Extended,20875775163,Search - Corporate,_adgroup,Corporate - Extended,Corporate+-+Extended
Furnished Finder,755-457-3980,154877000000.0,Corporate - Furnished,20875775163,Search - Corporate,_adgroup,Corporate - Furnished,Corporate+-+Furnished
Furnished Finder,755-457-3980,154877000000.0,Corporate - Long Term,20875775163,Search - Corporate,_adgroup,Corporate - Long Term,Corporate+-+Long+Term
Furnished Finder,755-457-3980,154877000000.0,Corporate - Short Term,20875775163,Search - Corporate,_adgroup,Corporate - Short Term,Corporate+-+Short+Term
Furnished Finder,755-457-3980,154877000000.0,Executive - Apartments,20875775163,Search - Corporate,_adgroup,Executive - Apartments,Executive+-+Apartments
Furnished Finder,755-457-3980,154877000000.0,Professionals,20875775163,Search - Corporate,_adgroup,Professionals,Professionals
Furnished Finder,755-457-3980,154877000000.0,Professionals - Furnished,20875775163,Search - Corporate,_adgroup,Professionals - Furnished,Professionals+-+Furnished
Furnished Finder,755-457-3980,154877000000.0,Professionals - Short Term,20875775163,Search - Corporate,_adgroup,Professionals - Short Term,Professionals+-+Short+Term
Furnished Finder,755-457-3980,154877000000.0,Professionals - Temporary,20875775163,Search - Corporate,_adgroup,Professionals - Temporary,Professionals+-+Temporary
Furnished Finder,755-457-3980,155651000000.0,Travel Nurse Housing,20885986489,Search - Travel Nurse Housing,_adgroup,Travel Nurse Housing,Travel+Nurse+Housing
Furnished Finder,755-457-3980,155651000000.0,Furnished Finder - Brand,20885987002,FF - Search - Brand,_adgroup,Furnished Finder - Brand,Furnished+Finder+-+Brand
Furnished Finder,755-457-3980,156398000000.0,Apartments - Extended,20882340428,Search - Housing,_adgroup,Apartments - Extended,Apartments+-+Extended
Furnished Finder,755-457-3980,156398000000.0,Apartments - Furnished,20882340428,Search - Housing,_adgroup,Apartments - Furnished,Apartments+-+Furnished
Furnished Finder,755-457-3980,156398000000.0,Apartments - Weekly,20882340428,Search - Housing,_adgroup,Apartments - Weekly,Apartments+-+Weekly
Furnished Finder,755-457-3980,156398000000.0,Extended,20882340428,Search - Housing,_adgroup,Extended,Extended
Furnished Finder,755-457-3980,156398000000.0,Extended - Furnished,20882340428,Search - Housing,_adgroup,Extended - Furnished,Extended+-+Furnished
Furnished Finder,755-457-3980,156398000000.0,Extended - Short Term,20882340428,Search - Housing,_adgroup,Extended - Short Term,Extended+-+Short+Term
Furnished Finder,755-457-3980,156398000000.0,Housing - Furnished,20882340428,Search - Housing,_adgroup,Housing - Furnished,Housing+-+Furnished
Furnished Finder,755-457-3980,156398000000.0,Long Term,20882340428,Search - Housing,_adgroup,Long Term,Long+Term
Furnished Finder,755-457-3980,156398000000.0,Long Term - Furnished,20882340428,Search - Housing,_adgroup,Long Term - Furnished,Long+Term+-+Furnished
Furnished Finder,755-457-3980,156398000000.0,Monthly,20882340428,Search - Housing,_adgroup,Monthly,Monthly
Furnished Finder,755-457-3980,156398000000.0,Monthly - Furnished,20882340428,Search - Housing,_adgroup,Monthly - Furnished,Monthly+-+Furnished
