Account name,Customer ID,Ad group ID,Ad group,Campaign ID,Campaign,Campaign state,Ad group state,Custom Parameter Key name,Custom Parameter Value Encoded
Furnished Finder,755-457-3980,154876602857,Corporate,20875775163,Search - Corporate,Enabled,Enabled,_adgroup,Corporate
Furnished Finder,755-457-3980,154876602897,Corporate - Extended,20875775163,Search - Corporate,Enabled,Enabled,_adgroup,Corporate+-+Extended
Furnished Finder,755-457-3980,154876602937,Corporate - Furnished,20875775163,Search - Corporate,Enabled,Enabled,_adgroup,Corporate+-+Furnished
Furnished Finder,755-457-3980,154876603097,Corporate - Long Term,20875775163,Search - Corporate,Enabled,Enabled,_adgroup,Corporate+-+Long+Term
Furnished Finder,755-457-3980,154876603137,Corporate - Short Term,20875775163,Search - Corporate,Enabled,Enabled,_adgroup,Corporate+-+Short+Term
Furnished Finder,755-457-3980,154876603177,Executive - Apartments,20875775163,Search - Corporate,Enabled,Enabled,_adgroup,Executive+-+Apartments
Furnished Finder,755-457-3980,154876603337,Professionals,20875775163,Search - Corporate,Enabled,Enabled,_adgroup,Professionals
Furnished Finder,755-457-3980,154876603377,Professionals - Furnished,20875775163,Search - Corporate,Enabled,Enabled,_adgroup,Professionals+-+Furnished
Furnished Finder,755-457-3980,154876603417,Professionals - Short Term,20875775163,Search - Corporate,Enabled,Enabled,_adgroup,Professionals+-+Short+Term
Furnished Finder,755-457-3980,154876603577,Professionals - Temporary,20875775163,Search - Corporate,Enabled,Enabled,_adgroup,Professionals+-+Temporary
Furnished Finder,755-457-3980,155650722623,Travel Nurse Housing,20885986489,Search - Travel Nurse Housing,Enabled,Enabled,_adgroup,Travel+Nurse+Housing
Furnished Finder,755-457-3980,155650723103,Furnished Finder - Brand,20885987002,FF - Search - Brand,Enabled,Enabled,_adgroup,Furnished+Finder+-+Brand
Furnished Finder,755-457-3980,156398145305,Apartments - Extended,20882340428,Search - Housing,Enabled,Enabled,_adgroup,Apartments+-+Extended
Furnished Finder,755-457-3980,156398145345,Apartments - Furnished,20882340428,Search - Housing,Enabled,Enabled,_adgroup,Apartments+-+Furnished
Furnished Finder,755-457-3980,156398145505,Apartments - Weekly,20882340428,Search - Housing,Enabled,Enabled,_adgroup,Apartments+-+Weekly
Furnished Finder,755-457-3980,156398145545,Extended,20882340428,Search - Housing,Enabled,Enabled,_adgroup,Extended
Furnished Finder,755-457-3980,156398145585,Extended - Furnished,20882340428,Search - Housing,Enabled,Enabled,_adgroup,Extended+-+Furnished
Furnished Finder,755-457-3980,156398145745,Extended - Short Term,20882340428,Search - Housing,Enabled,Enabled,_adgroup,Extended+-+Short+Term
Furnished Finder,755-457-3980,156398145785,Housing - Furnished,20882340428,Search - Housing,Enabled,Enabled,_adgroup,Housing+-+Furnished
Furnished Finder,755-457-3980,156398145825,Long Term,20882340428,Search - Housing,Enabled,Enabled,_adgroup,Long+Term
Furnished Finder,755-457-3980,156398145985,Long Term - Furnished,20882340428,Search - Housing,Enabled,Enabled,_adgroup,Long+Term+-+Furnished
Furnished Finder,755-457-3980,156398146025,Monthly,20882340428,Search - Housing,Enabled,Enabled,_adgroup,Monthly
Furnished Finder,755-457-3980,156398146065,Monthly - Furnished,20882340428,Search - Housing,Enabled,Enabled,_adgroup,Monthly+-+Furnished
Furnished Finder,755-457-3980,156398146225,Short Term,20882340428,Search - Housing,Enabled,Enabled,_adgroup,Short+Term
Furnished Finder,755-457-3980,156398146265,Short Term - Furnished,20882340428,Search - Housing,Enabled,Enabled,_adgroup,Short+Term+-+Furnished
Furnished Finder,755-457-3980,156398146945,Travel Nurse - Accommodations,20875775175,Search - Travel Nurse,Enabled,Enabled,_adgroup,Travel+Nurse+-+Accommodations
Furnished Finder,755-457-3980,156398146985,Travel Nurse - Apartments,20875775175,Search - Travel Nurse,Enabled,Enabled,_adgroup,Travel+Nurse+-+Apartments
Furnished Finder,755-457-3980,156398147025,Travel Nurse - Corporate,20875775175,Search - Travel Nurse,Enabled,Enabled,_adgroup,Travel+Nurse+-+Corporate
